Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem
fig|362418.15.peg.38	CDS	NZ_JPRL01000001	41031	40591	-3	-	441	Beta-carotene hydroxylase	Myxoxanthophyll biosynthesis in Cyanobacteria
fig|362418.15.peg.39	CDS	NZ_JPRL01000001	41952	41113	-3	-	840	Phytoene synthase (EC 2.5.1.32)	- none -
fig|362418.15.peg.40	CDS	NZ_JPRL01000001	43423	41936	-1	-	1488	Phytoene dehydrogenase (EC 1.14.99.-)	- none -
fig|362418.15.peg.41	CDS	NZ_JPRL01000001	44360	43461	-2	-	900	Transcriptional regulator, MerR family	Cobalt-zinc-cadmium resistance
fig|362418.15.peg.42	CDS	NZ_JPRL01000001	45395	44433	-2	-	963	Kef-type K+ transport systems, predicted NAD-binding component	- none -
fig|362418.15.peg.43	CDS	NZ_JPRL01000001	46021	45521	-1	-	501	TPR repeat precursor	- none -
fig|362418.15.peg.44	CDS	NZ_JPRL01000001	47339	46176	-2	-	1164	Putative monooxygenase	- none -
fig|362418.15.peg.45	CDS	NZ_JPRL01000001	47432	48388	2	+	957	Transcriptional regulator, AraC family	- none -
fig|362418.15.peg.46	CDS	NZ_JPRL01000001	49565	48417	-2	-	1149	hypothetical protein	- none -
fig|362418.15.peg.47	CDS	NZ_JPRL01000001	49772	49963	2	+	192	hypothetical protein	- none -
fig|362418.15.peg.48	CDS	NZ_JPRL01000001	49972	50397	1	+	426	hypothetical protein	- none -
fig|362418.15.peg.49	CDS	NZ_JPRL01000001	50469	51131	3	+	663	hypothetical protein	- none -
fig|362418.15.peg.50	CDS	NZ_JPRL01000001	51808	51167	-1	-	642	hypothetical protein	- none -
fig|362418.15.peg.51	CDS	NZ_JPRL01000001	52042	52527	1	+	486	hypothetical protein	- none -
fig|362418.15.peg.52	CDS	NZ_JPRL01000001	53368	52697	-1	-	672	hypothetical protein	- none -
fig|362418.15.peg.53	CDS	NZ_JPRL01000001	54136	54654	1	+	519	Shikimate kinase I (EC 2.7.1.71)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)
fig|362418.15.peg.54	CDS	NZ_JPRL01000001	55146	54646	-3	-	501	Uncharacterized protein SAV2112	- none -
fig|362418.15.peg.55	CDS	NZ_JPRL01000001	55553	55215	-2	-	339	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	DNA replication cluster 1
fig|362418.15.peg.56	CDS	NZ_JPRL01000001	55684	56799	1	+	1116	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	Peptidyl-prolyl cis-trans isomerase; <br>Potassium homeostasis
fig|362418.15.peg.57	CDS	NZ_JPRL01000001	56936	57880	2	+	945	hypothetical protein	- none -
fig|362418.15.peg.58	CDS	NZ_JPRL01000001	58895	57942	-2	-	954	Transketolase, C-terminal section (EC 2.2.1.1)	Pentose phosphate pathway
fig|362418.15.peg.59	CDS	NZ_JPRL01000001	59826	58975	-3	-	852	Transketolase, N-terminal section (EC 2.2.1.1)	Pentose phosphate pathway
fig|362418.15.peg.60	CDS	NZ_JPRL01000001	60386	60081	-2	-	306	hypothetical protein	- none -
fig|362418.15.peg.61	CDS	NZ_JPRL01000001	60925	60533	-1	-	393	hypothetical protein	- none -
fig|362418.15.peg.62	CDS	NZ_JPRL01000001	62849	61023	-2	-	1827	hypothetical protein	- none -
fig|362418.15.peg.63	CDS	NZ_JPRL01000001	63111	64241	3	+	1131	Queuine tRNA-ribosyltransferase (EC 2.4.2.29)	- none -
fig|362418.15.peg.64	CDS	NZ_JPRL01000001	64322	65410	2	+	1089	Lipopolysaccharide export system permease protein LptG	- none -
fig|362418.15.peg.65	CDS	NZ_JPRL01000001	65397	66287	3	+	891	hypothetical protein	- none -
fig|362418.15.peg.66	CDS	NZ_JPRL01000001	66400	67353	1	+	954	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	Fatty Acid Biosynthesis FASII; <br>Pterin synthesis related cluster
fig|362418.15.peg.67	CDS	NZ_JPRL01000001	67494	69038	3	+	1545	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	- none -
fig|362418.15.peg.68	CDS	NZ_JPRL01000001	69161	69526	2	+	366	hypothetical protein	- none -
fig|362418.15.peg.69	CDS	NZ_JPRL01000001	69526	70164	1	+	639	hypothetical protein	- none -
fig|362418.15.peg.70	CDS	NZ_JPRL01000001	70166	70957	2	+	792	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.71	CDS	NZ_JPRL01000001	71070	71735	3	+	666	DNA-binding response regulator DegU	- none -
fig|362418.15.peg.72	CDS	NZ_JPRL01000001	72078	73337	3	+	1260	hypothetical protein	- none -
fig|362418.15.peg.73	CDS	NZ_JPRL01000001	74141	73338	-2	-	804	Endonuclease/exonuclease/phosphatase	- none -
fig|362418.15.peg.74	CDS	NZ_JPRL01000001	74500	74270	-1	-	231	hypothetical protein	- none -
fig|362418.15.peg.75	CDS	NZ_JPRL01000001	75250	74582	-1	-	669	hypothetical protein	- none -
fig|362418.15.peg.76	CDS	NZ_JPRL01000001	77033	75261	-2	-	1773	hypothetical protein	- none -
fig|362418.15.peg.77	CDS	NZ_JPRL01000001	78754	77036	-1	-	1719	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.78	CDS	NZ_JPRL01000001	79327	78893	-1	-	435	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein	- none -
fig|362418.15.peg.79	CDS	NZ_JPRL01000001	79979	79407	-2	-	573	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	- none -
fig|362418.15.peg.80	CDS	NZ_JPRL01000001	80623	80051	-1	-	573	hypothetical protein	- none -
fig|362418.15.peg.81	CDS	NZ_JPRL01000001	81286	81465	1	+	180	hypothetical protein	- none -
fig|362418.15.peg.82	CDS	NZ_JPRL01000001	82301	81510	-2	-	792	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -
fig|362418.15.peg.83	CDS	NZ_JPRL01000001	82936	82358	-1	-	579	Transcriptional regulator, AcrR family	- none -
fig|362418.15.peg.84	CDS	NZ_JPRL01000001	83220	83080	-3	-	141	hypothetical protein	- none -
fig|362418.15.peg.85	CDS	NZ_JPRL01000001	83486	84994	2	+	1509	Putative helicase	- none -
fig|362418.15.peg.86	CDS	NZ_JPRL01000001	85202	85771	2	+	570	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	- none -
fig|362418.15.peg.87	CDS	NZ_JPRL01000001	85875	86975	3	+	1101	Nucleoside-diphosphate-sugar epimerases	- none -
fig|362418.15.peg.88	CDS	NZ_JPRL01000001	87396	87824	3	+	429	hypothetical protein	- none -
fig|362418.15.peg.89	CDS	NZ_JPRL01000001	88004	88366	2	+	363	hypothetical protein	- none -
fig|362418.15.peg.90	CDS	NZ_JPRL01000001	88783	89790	1	+	1008	Cell well associated RhsD protein	- none -
fig|362418.15.peg.91	CDS	NZ_JPRL01000001	89889	90083	3	+	195	hypothetical protein	- none -
fig|362418.15.peg.92	CDS	NZ_JPRL01000001	91965	91360	-3	-	606	FMN-dependent NADH-azoreductase (EC 1.7.1.6)	- none -
fig|362418.15.peg.93	CDS	NZ_JPRL01000001	92140	92511	1	+	372	Transcriptional regulator, HxlR family	- none -
fig|362418.15.peg.94	CDS	NZ_JPRL01000001	93031	93849	1	+	819	Putative hemolysin	- none -
fig|362418.15.peg.95	CDS	NZ_JPRL01000001	94784	95623	2	+	840	hypothetical protein	- none -
fig|362418.15.peg.96	CDS	NZ_JPRL01000001	96669	95815	-3	-	855	hypothetical protein	- none -
fig|362418.15.peg.97	CDS	NZ_JPRL01000001	99719	97005	-2	-	2715	hypothetical protein formerly called flagellar hook-length control protein FliK	- none -
fig|362418.15.peg.98	CDS	NZ_JPRL01000001	100275	101105	3	+	831	Milk-clotting protease	- none -
fig|362418.15.peg.99	CDS	NZ_JPRL01000001	104161	101351	-1	-	2811	Probable zinc protease pqqL (EC 3.4.99.-)	- none -
fig|362418.15.peg.100	CDS	NZ_JPRL01000001	106440	104173	-3	-	2268	Gliding motility-associated ABC transporter permease protein GldF / Gliding motility-associated ABC transporter substrate-binding protein GldG	- none -
fig|362418.15.peg.101	CDS	NZ_JPRL01000001	107399	106452	-2	-	948	Gliding motility-associated ABC transporter ATP-binding protein GldA	- none -
fig|362418.15.peg.102	CDS	NZ_JPRL01000001	108860	107466	-2	-	1395	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -
fig|362418.15.peg.103	CDS	NZ_JPRL01000001	112228	108872	-1	-	3357	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -
fig|362418.15.peg.104	CDS	NZ_JPRL01000001	113476	112436	-1	-	1041	Putative anti-sigma factor	- none -
fig|362418.15.peg.105	CDS	NZ_JPRL01000001	114293	113706	-2	-	588	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.106	CDS	NZ_JPRL01000001	115702	114680	-1	-	1023	surface antigen gene	- none -
fig|362418.15.peg.107	CDS	NZ_JPRL01000001	116270	115746	-2	-	525	hypothetical protein	- none -
fig|362418.15.peg.108	CDS	NZ_JPRL01000001	116416	116276	-1	-	141	Modulator of drug activity B	- none -
fig|362418.15.peg.109	CDS	NZ_JPRL01000001	116885	116442	-2	-	444	Modulator of drug activity B	- none -
fig|362418.15.peg.110	CDS	NZ_JPRL01000001	116980	117363	1	+	384	Transcriptional regulator, HxlR family	- none -
fig|362418.15.peg.111	CDS	NZ_JPRL01000001	117540	118994	3	+	1455	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	- none -
fig|362418.15.peg.112	CDS	NZ_JPRL01000001	119563	119075	-1	-	489	hypothetical protein	- none -
fig|362418.15.peg.113	CDS	NZ_JPRL01000001	120004	119594	-1	-	411	hypothetical protein	- none -
fig|362418.15.peg.114	CDS	NZ_JPRL01000001	121341	120016	-3	-	1326	hypothetical protein	- none -
fig|362418.15.peg.115	CDS	NZ_JPRL01000001	122856	121483	-3	-	1374	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.116	CDS	NZ_JPRL01000001	123536	122853	-2	-	684	Two-component transcriptional response regulator, LuxR family	- none -
fig|362418.15.peg.117	CDS	NZ_JPRL01000001	124557	123661	-3	-	897	Transcriptional regulator, AraC family	- none -
fig|362418.15.peg.118	CDS	NZ_JPRL01000001	124750	125727	1	+	978	Oxidoreductase, aldo/keto reductase family	- none -
fig|362418.15.peg.119	CDS	NZ_JPRL01000001	125763	126602	3	+	840	Oxidoreductase, aldo/keto reductase family	- none -
fig|362418.15.peg.120	CDS	NZ_JPRL01000001	126639	127019	3	+	381	hypothetical protein	- none -
fig|362418.15.peg.121	CDS	NZ_JPRL01000001	127260	128243	3	+	984	Oxidoreductase, aldo/keto reductase family	- none -
fig|362418.15.peg.122	CDS	NZ_JPRL01000001	128281	128790	1	+	510	hypothetical protein	- none -
fig|362418.15.peg.123	CDS	NZ_JPRL01000001	128818	129885	1	+	1068	Alcohol dehydrogenase (EC 1.1.1.1)	5-FCL-like protein; <br>Butanol Biosynthesis
fig|362418.15.peg.124	CDS	NZ_JPRL01000001	131041	130019	-1	-	1023	hypothetical protein	- none -
fig|362418.15.peg.125	CDS	NZ_JPRL01000001	131140	131253	1	+	114	hypothetical protein	- none -
fig|362418.15.peg.126	CDS	NZ_JPRL01000001	131950	131282	-1	-	669	hypothetical protein	- none -
fig|362418.15.peg.127	CDS	NZ_JPRL01000001	132769	132035	-1	-	735	hypothetical protein	- none -
fig|362418.15.peg.128	CDS	NZ_JPRL01000001	133592	132789	-2	-	804	hypothetical protein	- none -
fig|362418.15.peg.129	CDS	NZ_JPRL01000001	134321	133602	-2	-	720	hypothetical protein	- none -
fig|362418.15.peg.130	CDS	NZ_JPRL01000001	136735	134348	-1	-	2388	TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins	Ton and Tol transport systems
fig|362418.15.peg.131	CDS	NZ_JPRL01000001	137326	137832	1	+	507	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.132	CDS	NZ_JPRL01000001	137932	139134	1	+	1203	Putative anti-sigma factor	- none -
fig|362418.15.peg.133	CDS	NZ_JPRL01000001	139230	142811	3	+	3582	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -
fig|362418.15.peg.134	CDS	NZ_JPRL01000001	142821	144218	3	+	1398	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -
fig|362418.15.peg.135	CDS	NZ_JPRL01000001	144290	146287	2	+	1998	hypothetical protein	- none -
fig|362418.15.peg.136	CDS	NZ_JPRL01000001	146287	147711	1	+	1425	hypothetical protein	- none -
fig|362418.15.peg.137	CDS	NZ_JPRL01000001	148023	150092	3	+	2070	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	Biogenesis of c-type cytochromes; <br>Periplasmic disulfide interchange
fig|362418.15.peg.138	CDS	NZ_JPRL01000001	150762	153566	3	+	2805	Probable zinc protease pqqL (EC 3.4.99.-)	- none -
fig|362418.15.peg.139	CDS	NZ_JPRL01000001	154043	153723	-2	-	321	hypothetical protein	- none -
fig|362418.15.peg.140	CDS	NZ_JPRL01000001	154927	154133	-1	-	795	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -
fig|362418.15.peg.141	CDS	NZ_JPRL01000001	155052	155438	3	+	387	Transcriptional regulator, HxlR family	- none -
fig|362418.15.peg.142	CDS	NZ_JPRL01000001	155567	157288	2	+	1722	Acyl-CoA dehydrogenases	- none -
fig|362418.15.peg.143	CDS	NZ_JPRL01000001	158400	157291	-3	-	1110	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	- none -
fig|362418.15.peg.144	CDS	NZ_JPRL01000001	159462	158644	-3	-	819	Non-heme haloperoxidase	- none -
fig|362418.15.peg.145	CDS	NZ_JPRL01000001	162059	159693	-2	-	2367	Putative formate dehydrogenase oxidoreductase protein	- none -
fig|362418.15.peg.146	CDS	NZ_JPRL01000001	162983	162111	-2	-	873	Sulfur carrier protein FdhD	- none -
fig|362418.15.peg.147	CDS	NZ_JPRL01000001	163613	163098	-2	-	516	Periplasmic thiol:disulfide interchange protein DsbA	Biogenesis of c-type cytochromes; <br>Periplasmic disulfide interchange
fig|362418.15.peg.148	CDS	NZ_JPRL01000001	164274	163822	-3	-	453	Alkyl hydroperoxide reductase subunit C-like protein	Oxidative stress; <br>Rubrerythrin; <br>Thioredoxin-disulfide reductase
fig|362418.15.peg.149	CDS	NZ_JPRL01000001	165332	164781	-2	-	552	hypothetical protein	- none -
fig|362418.15.peg.150	CDS	NZ_JPRL01000001	166359	165391	-3	-	969	Quinone oxidoreductase (EC 1.6.5.5)	Quinone oxidoreductase family
fig|362418.15.peg.151	CDS	NZ_JPRL01000001	166802	166371	-2	-	432	hypothetical protein	- none -
fig|362418.15.peg.152	CDS	NZ_JPRL01000001	167412	166855	-3	-	558	hypothetical protein	- none -
fig|362418.15.peg.153	CDS	NZ_JPRL01000001	170235	168049	-3	-	2187	hypothetical protein	- none -
fig|362418.15.peg.154	CDS	NZ_JPRL01000001	171219	170524	-3	-	696	Two-component transcriptional response regulator, LuxR family	- none -
fig|362418.15.peg.155	CDS	NZ_JPRL01000001	171739	171266	-1	-	474	DNA protection during starvation protein	- none -
fig|362418.15.peg.156	CDS	NZ_JPRL01000001	172568	171954	-2	-	615	Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family	- none -
fig|362418.15.peg.157	CDS	NZ_JPRL01000001	173078	172605	-2	-	474	hypothetical protein	- none -
fig|362418.15.peg.158	CDS	NZ_JPRL01000001	173671	173126	-1	-	546	Acetyltransferase, GNAT family	- none -
fig|362418.15.peg.159	CDS	NZ_JPRL01000001	173954	173622	-2	-	333	Arsenical resistance operon repressor	- none -
fig|362418.15.peg.160	CDS	NZ_JPRL01000001	174172	175155	1	+	984	Hydrolase, alpha/beta fold family	- none -
fig|362418.15.peg.161	CDS	NZ_JPRL01000001	175542	175273	-3	-	270	hypothetical protein	- none -
fig|362418.15.peg.162	CDS	NZ_JPRL01000001	176129	175782	-2	-	348	hypothetical protein	- none -
fig|362418.15.peg.163	CDS	NZ_JPRL01000001	176588	176328	-2	-	261	hypothetical protein	- none -
fig|362418.15.peg.164	CDS	NZ_JPRL01000001	177180	176665	-3	-	516	hypothetical protein	- none -
fig|362418.15.peg.165	CDS	NZ_JPRL01000001	179884	177182	-1	-	2703	hypothetical protein	- none -
fig|362418.15.peg.166	CDS	NZ_JPRL01000001	180057	180182	3	+	126	hypothetical protein	- none -
fig|362418.15.peg.167	CDS	NZ_JPRL01000001	181489	180587	-1	-	903	Fructokinase (EC 2.7.1.4)	Sucrose utilization
fig|362418.15.peg.168	CDS	NZ_JPRL01000001	183143	181656	-2	-	1488	Cysteine desulfurase (EC 2.8.1.7)	Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>mnm5U34 biosynthesis bacteria
fig|362418.15.peg.169	CDS	NZ_JPRL01000001	185359	183194	-1	-	2166	Acylamino-acid-releasing enzyme (EC 3.4.19.1)	Omega peptidases (EC 3.4.19.-)
fig|362418.15.peg.170	CDS	NZ_JPRL01000001	186659	185370	-2	-	1290	hypothetical protein	- none -
fig|362418.15.peg.171	CDS	NZ_JPRL01000001	187838	186849	-2	-	990	Thiol:disulfide interchange protein	- none -
fig|362418.15.peg.172	CDS	NZ_JPRL01000001	189329	187872	-2	-	1458	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -
fig|362418.15.peg.173	CDS	NZ_JPRL01000001	192516	189349	-3	-	3168	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -
fig|362418.15.peg.174	CDS	NZ_JPRL01000001	194686	193181	-1	-	1506	hypothetical protein	- none -
fig|362418.15.peg.175	CDS	NZ_JPRL01000001	196600	194774	-1	-	1827	Alkaline phosphatase (EC 3.1.3.1)	Phosphate metabolism; <br>Pterin synthesis related cluster
fig|362418.15.peg.176	CDS	NZ_JPRL01000001	198339	196804	-3	-	1536	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -
fig|362418.15.peg.177	CDS	NZ_JPRL01000001	201748	198359	-1	-	3390	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -
fig|362418.15.peg.178	CDS	NZ_JPRL01000001	202741	201821	-1	-	921	Putative anti-sigma factor	- none -
fig|362418.15.peg.179	CDS	NZ_JPRL01000001	203411	202854	-2	-	558	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.180	CDS	NZ_JPRL01000001	203806	205017	1	+	1212	Flavohemoglobin / Nitric oxide dioxygenase (EC 1.14.12.17)	- none -
fig|362418.15.peg.181	CDS	NZ_JPRL01000001	205334	205984	2	+	651	hypothetical protein	- none -
fig|362418.15.peg.182	CDS	NZ_JPRL01000001	206126	206578	2	+	453	hypothetical protein	- none -
fig|362418.15.peg.183	CDS	NZ_JPRL01000001	206680	207018	1	+	339	PhnB protein	- none -
fig|362418.15.peg.184	CDS	NZ_JPRL01000001	207048	208295	3	+	1248	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.185	CDS	NZ_JPRL01000001	208465	210138	1	+	1674	Circadian clock protein KaiC	- none -
fig|362418.15.peg.186	CDS	NZ_JPRL01000001	210146	210448	2	+	303	Circadian oscillation regulator KaiB	- none -
fig|362418.15.peg.187	CDS	NZ_JPRL01000001	210448	210744	1	+	297	Circadian oscillation regulator KaiB	- none -
fig|362418.15.peg.188	CDS	NZ_JPRL01000001	210749	212002	2	+	1254	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.189	CDS	NZ_JPRL01000001	212004	212408	3	+	405	Two-component transcriptional response regulator, LuxR family	- none -
fig|362418.15.peg.190	CDS	NZ_JPRL01000001	212416	213291	1	+	876	Transcriptional regulator, AraC family	- none -
fig|362418.15.peg.191	CDS	NZ_JPRL01000001	213563	214612	2	+	1050	Lipase	- none -
fig|362418.15.peg.192	CDS	NZ_JPRL01000001	214755	215975	3	+	1221	Uncharacterized DUF763 protein AF1496	- none -
fig|362418.15.peg.193	CDS	NZ_JPRL01000001	216450	216064	-3	-	387	putative membrane protein	- none -
fig|362418.15.peg.194	CDS	NZ_JPRL01000001	216694	217533	1	+	840	Transcriptional regulator, AraC family	- none -
fig|362418.15.peg.195	CDS	NZ_JPRL01000001	217551	218819	3	+	1269	hypothetical protein	- none -
fig|362418.15.peg.196	CDS	NZ_JPRL01000001	219435	218839	-3	-	597	hypothetical protein	- none -
fig|362418.15.peg.197	CDS	NZ_JPRL01000001	219673	221100	1	+	1428	Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Threonine and Homoserine Biosynthesis
fig|362418.15.peg.198	CDS	NZ_JPRL01000001	221410	221147	-1	-	264	hypothetical protein	- none -
fig|362418.15.peg.199	CDS	NZ_JPRL01000001	221730	222461	3	+	732	Pyridoxal phosphate-containing protein YggS	- none -
fig|362418.15.peg.200	CDS	NZ_JPRL01000001	222492	223202	3	+	711	putative ATPase	- none -
fig|362418.15.peg.201	CDS	NZ_JPRL01000001	223342	224082	1	+	741	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	- none -
fig|362418.15.peg.202	CDS	NZ_JPRL01000001	224379	225410	3	+	1032	Methionine ABC transporter ATP-binding protein	Methionine Biosynthesis; <br>Methionine Degradation
fig|362418.15.peg.203	CDS	NZ_JPRL01000001	225403	226056	1	+	654	Methionine ABC transporter permease protein	Methionine Biosynthesis; <br>Methionine Degradation
fig|362418.15.peg.204	CDS	NZ_JPRL01000001	226076	226888	2	+	813	Methionine ABC transporter substrate-binding protein	Methionine Biosynthesis; <br>Methionine Degradation
fig|362418.15.peg.205	CDS	NZ_JPRL01000001	228443	226986	-2	-	1458	Hyaluronan synthase (EC 2.4.1.212)	Streptococcal Hyaluronic Acid Capsule
fig|362418.15.peg.206	CDS	NZ_JPRL01000001	229039	229488	1	+	450	Two-component transcriptional response regulator, LuxR family	- none -
fig|362418.15.peg.207	CDS	NZ_JPRL01000001	229502	232759	2	+	3258	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.208	CDS	NZ_JPRL01000001	233263	232847	-1	-	417	hypothetical protein	- none -
fig|362418.15.peg.209	CDS	NZ_JPRL01000001	233648	234997	2	+	1350	Beta-glucosidase A (EC 3.2.1.21) (Gentiobiase) (Cellobiase) (Beta-D-glucoside glucohydrolase)	- none -
fig|362418.15.peg.210	CDS	NZ_JPRL01000001	235981	234989	-1	-	993	hypothetical protein	- none -
