Function,Subsystem,NCBI GI,locus,System,Category
Catalase-peroxidase KatG (EC 1.11.1.21),- none -, , ,none,none
Na+/H+ antiporter NhaC,none, , ,Uni- Sym- and Antiporters,Membrane Transport
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),- none -, , ,none,none
"Transcriptional regulator, AsnC family",none, , ,RNA processing and modification,RNA Metabolism
Dihydrolipoamide dehydrogenase (EC 1.8.1.4),5-FCL-like protein; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine; Folate and pterines","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
putative lipoprotein,- none -, , ,none,none
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
two-component hybrid sensor and regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"MCP methyltransferase, CheR-type",- none -, , ,none,none
CheB methylesterase( EC:3.1.1.61 ),- none -, , ,none,none
General stress protein,- none -, , ,none,none
NAD binding site,- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
Naringenin-chalcone synthase (EC 2.3.1.74),- none -, , ,none,none
"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
DNA polymerase III epsilon subunit (EC 2.7.7.7),<br>CBSS-342610.3.peg.1536; CBSS-228410.1.peg.134; DNA polymerase, , ,DNA replication,DNA Metabolism
"L,D-transpeptidase",Protein degradation, , ,Protein degradation,Protein Metabolism
Sterol desaturase family protein,- none -, , ,none,none
integrase family protein,Integrase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
"Phage/plasmid primase P4, C-terminal",- none -, , ,none,none
"DNA primase, phage associated",- none -, , ,none,none
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4),- none -, , ,none,none
Phosphate transport regulator (distant homolog of PhoU),Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
Probable low-affinity inorganic phosphate transporter,Phosphate metabolism; none, , ,Membrane Transport - no subcategory; Phosphorus Metabolism - no subcategory,Membrane Transport; Phosphorus Metabolism
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),- none -, , ,none,none
Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) @ Outer membrane phospholipase A,- none -, , ,none,none
Peptide chain release factor 2 @ programmed frameshift-containing,Programmed frameshift; <br>Programmed frameshift; <br>Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
L-allo-threonine aldolase (EC 2.1.2.1),Threonine degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Putative transcriptional regulatory protein,none, , ,RNA processing and modification,RNA Metabolism
Acetyl-CoA hydrolase,- none -, , ,none,none
Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein,- none -, , ,none,none
Thiol:disulfide interchange protein tlpA,- none -, , ,none,none
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system histidine kinase BT1216,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"ABC-type antimicrobial peptide transport system, permease component BT1215",none, , ,ABC-transporters,Membrane Transport
"ABC-type antimicrobial peptide transport system, ATPase component",none, , ,ABC-transporters,Membrane Transport
"ABC export system, membrane fusion protein BT1213",- none -, , ,none,none
"Efflux transport system, outer membrane factor (OMF) lipoprotein BT1212",none, , ,Membrane Transport - no subcategory,Membrane Transport
Organic hydroperoxide resistance transcriptional regulator,none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Organic hydroperoxide resistance protein,CBSS-269482.1.peg.1294; <br>Oxidative stress, , ,Oxidative stress,Stress Response
Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34),- none -, , ,none,none
High-affinity choline uptake protein BetT,- none -, , ,none,none
Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system,none, , ,Uni- Sym- and Antiporters,Membrane Transport
Membrane fusion component of MSF-type tripartite multidrug efflux system,- none -, , ,none,none
Outer membrane component of tripartite multidrug resistance system,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
tRNA-dihydrouridine synthase BT3326,- none -, , ,none,none
Uncharacterized protein CHU_1311,- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
TonB-dependent receptor domain protein,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),Peptide methionine sulfoxide reductase, , ,Protein processing and modification,Protein Metabolism
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
Cryptic haloacid dehalogenase 1,- none -, , ,none,none
2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,- none -, , ,none,none
Macrophage infectivity potentiator-related protein,- none -, , ,none,none
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
Probable RNA polymerase sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Glycosyltransferase,- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
Iron-sulfur cluster-binding protein,Iron-sulfur cluster assembly, , ,Plant-Prokaryote DOE project,Miscellaneous
Nitrite reductase probable [NAD(P)H] subunit (EC 1.7.1.4),Nitrate and nitrite ammonification, , ,Nitrogen Metabolism - no subcategory,Nitrogen Metabolism
Glycosyl transferase,- none -, , ,none,none
Uncharacterized protein DUF547,- none -, , ,none,none
Mll6489 protein,- none -, , ,none,none
Rhodanese-like domain protein,- none -, , ,none,none
Nucleoid-associated protein YaaK,- none -, , ,none,none
Protease II (EC 3.4.21.83),Protein degradation, , ,Protein degradation,Protein Metabolism
Cystathionine beta-synthase (EC 4.2.1.22),Cysteine Biosynthesis; <br>Glycine and Serine Utilization, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",- none -, , ,none,none
cytosolic long-chain acyl-CoA thioester hydrolase family protein,- none -, , ,none,none
DnaJ-class molecular chaperone CbpA,Protein chaperones, , ,Protein folding,Protein Metabolism
Maleate cis-trans isomerase (EC 5.2.1.1),Salicylate and gentisate catabolism, , ,Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
Fumarylacetoacetate hydrolase family protein,Gentisate degradation; <br>Pterin carbinolamine dehydratase; <br>Salicylate and gentisate catabolism, , ,Folate and pterines; Metabolism of Aromatic Compounds - no subcategory; Metabolism of central aromatic intermediates,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Metabolism of Aromatic Compounds"
"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",Gentisate degradation; <br>Salicylate and gentisate catabolism, , ,Metabolism of Aromatic Compounds - no subcategory; Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
Nitrilase (EC 3.5.5.7),- none -, , ,none,none
Putative 4-hydroxybenzoyl CoA thioesterase,- none -, , ,none,none
Ferredoxin-dependent glutamate synthase (EC 1.4.7.1),"Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases,- none -, , ,none,none
Anthraniloyl-CoA monooxygenase (EC 1.14.13.40),- none -, , ,none,none
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),- none -, , ,none,none
Formiminoglutamase (EC 3.5.3.8),Histidine Degradation, , ,Histidine Metabolism,Amino Acids and Derivatives
Imidazolonepropionase (EC 3.5.2.7),Histidine Degradation, , ,Histidine Metabolism,Amino Acids and Derivatives
Asl0491 protein,- none -, , ,none,none
Magnesium and cobalt transport protein CorA,Magnesium transport; none, , ,Cation transporters; Membrane Transport - no subcategory,Membrane Transport
Acid-resistant locus arl7 (Fragment),none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Glutamine cyclotransferase,- none -, , ,none,none
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
Transaldolase (EC 2.2.1.2),Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
Adenylosuccinate synthetase (EC 6.3.4.4),Purine conversions, , ,Purines,Nucleosides and Nucleotides
Ferric uptake regulation protein FUR,Oxidative stress, , ,Oxidative stress,Stress Response
Two-component response regulator CheY subfamily,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
NADH dehydrogenase (EC 1.6.99.3),Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster, , ,Electron donating reactions,Respiration
"Multidrug resistance transporter, Bcr/CflA family",Copper homeostasis; none, , ,Membrane Transport - no subcategory; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
Putative helicase,- none -, , ,none,none
Na+/H+ antiporter NhaA type,"NhaA, NhaD and Sodium-dependent phosphate transporters; none", , ,Uni- Sym- and Antiporters,Membrane Transport
Putative membrane transport protein,none, , ,Membrane Transport - no subcategory,Membrane Transport
Uncharacterized protein CA2559_09228,- none -, , ,none,none
Cytochrome b561,Cytochrome, , ,Respiration - no subcategory,Respiration
Fumarate hydratase class II (EC 4.2.1.2),- none -, , ,none,none
"Peptidase, S41 family",Protein degradation, , ,Protein degradation,Protein Metabolism
Peptidase M1 family protein,Protein degradation, , ,Protein degradation,Protein Metabolism
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),Glycine and Serine Utilization; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Probable transcriptional regulatory protein YebC,none, , ,RNA processing and modification,RNA Metabolism
Response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,- none -, , ,none,none
Alanine dehydrogenase (EC 1.4.1.1),Pyruvate Alanine Serine Interconversions, , ,Central carbohydrate metabolism,Carbohydrates
GTP-binding and nucleic acid-binding protein YchF,- none -, , ,none,none
Methylglyoxal synthase (EC 4.2.3.3),Methylglyoxal Metabolism, , ,Central carbohydrate metabolism,Carbohydrates
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
6-phosphofructokinase (EC 2.7.1.11),- none -, , ,none,none
N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234),- none -, , ,none,none
16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Uncharacterized UPF0118 membrane protein,- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
D-alanyl-D-alanine dipeptidase (EC 3.4.13.22),Dipeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
Secreted and surface protein containing fasciclin-like repeats,- none -, , ,none,none
"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)",Dehydrogenase complexes; <br>Dehydrogenase complexes; <br>Isoleucine degradation; <br>Isoleucine degradation; <br>Valine degradation; <br>Valine degradation, , ,Branched-chain amino acids; Central carbohydrate metabolism,Amino Acids and Derivatives; Carbohydrates
5-hydroxyisourate hydrolase (EC 3.5.2.17),- none -, , ,none,none
(Y14336) putative extracellular protein containing predicted 35aa signal peptide,- none -, , ,none,none
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
Xanthosine permease,- none -, , ,none,none
Cytidylate kinase (EC 2.7.4.25),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
putative disulphide-isomerase,- none -, , ,none,none
low affinity penicillin binding protein,- none -, , ,none,none
ATP-dependent protease La (EC 3.4.21.53) Type I,"Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Zn-dependent protease with chaperone function PA4632,Protein degradation, , ,Protein degradation,Protein Metabolism
Uncharacterized membrane protein RSP_0589,- none -, , ,none,none
RND multidrug efflux transporter; Acriflavin resistance protein,none, , ,Membrane Transport - no subcategory; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
"RND efflux system, membrane fusion protein",- none -, , ,none,none
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Carbonic anhydrase, beta class (EC 4.2.1.1)",- none -, , ,none,none
Na(+)-dependent bicarbonate transporter BicA,none, , ,Membrane Transport - no subcategory,Membrane Transport
DNA gyrase subunit A (EC 5.99.1.3),"DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones", , ,DNA replication; Resistance to antibiotics and toxic compounds,"DNA Metabolism; Virulence, Disease and Defense"
"ATP-dependent Clp protease, ATP-binding subunit ClpC","Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
hypothetical protein sometimes fused to ribosomal protein S6 glutaminyl transferase / Ribosomal protein S6--L-glutamate ligase,Ribosome LSU/SSU bacterial; Ribosome biogenesis bacterial, , ,Protein biosynthesis,Protein Metabolism
NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136),- none -, , ,none,none
"YciO protein, TsaC/YrdC paralog",- none -, , ,none,none
ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
"CzcABC family efflux RND transporter, transmembrane protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"CzcABC family efflux RND transporter, membrane fusion protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Phosphatidylserine decarboxylase (EC 4.1.1.65),- none -, , ,none,none
BRAMP,- none -, , ,none,none
"Peptidase, M23/M37 family",Protein degradation, , ,Protein degradation,Protein Metabolism
Mobile element protein,- none -, , ,none,none
UPF0339 protein YegP.N / UPF0339 protein YegP.C,- none -, , ,none,none
FIG01093517: hypothetical protein,- none -, , ,none,none
"Death on curing protein, Doc toxin","Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems", , ,Programmed Cell Death and Toxin-antitoxin Systems,Regulation and Cell signaling
"Ferric iron ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Uncharacterized ABC1 family protein CHU_0987,- none -, , ,none,none
OmpA family protein,- none -, , ,none,none
Chaperone protein HtpG,Protein chaperones, , ,Protein folding,Protein Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
Alkylated DNA repair protein,none, , ,DNA repair,DNA Metabolism
Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase),- none -, , ,none,none
Asl0491 protein,- none -, , ,none,none
Mannose-6-phosphate isomerase (EC 5.3.1.8),Mannose Metabolism, , ,Monosaccharides,Carbohydrates
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),Pterin metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2),- none -, , ,none,none
"NAD(FAD)-utilizing dehydrogenase, sll0175 homolog",- none -, , ,none,none
"Transcriptional regulator, Xre family",none, , ,RNA processing and modification,RNA Metabolism
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
Purine nucleoside phosphorylase (EC 2.4.2.1),Adenosyl nucleosidases; <br>Deoxyribose and Deoxynucleoside Catabolism; <br>Purine conversions; <br>pyrimidine conversions, , ,Monosaccharides; Nucleosides and Nucleotides - no subcategory; Purines; Pyrimidines,Carbohydrates; Nucleosides and Nucleotides
Carboxymuconolactone decarboxylase (EC 4.1.1.44),- none -, , ,none,none
Radical SAM,- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
Phospholipid/glycerol acyltransferase,- none -, , ,none,none
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
glycosyl transferase family 2,- none -, , ,none,none
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
D-arabinose-5-phosphate isomerase (EC 5.3.1.13),- none -, , ,none,none
Twin-arginine translocation protein TatC,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",none, , ,ABC-transporters; Gram-Negative cell wall components; Membrane Transport - no subcategory,Cell Wall and Capsule; Membrane Transport
"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)",- none -, , ,none,none
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),- none -, , ,none,none
Bacterial sugar transferase,- none -, , ,none,none
Oligosaccharide repeat unit polymerase Wzy,- none -, , ,none,none
"Glycosyl transferase, group 1",- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Beta-1,3-galactosyltransferase / Beta-1,4- galactosyltransferase",- none -, , ,none,none
"Glycosyl transferase, group 2 family",- none -, , ,none,none
Putative glycosyltransferase,- none -, , ,none,none
"Polysaccharide ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"O-antigen export system, permease protein",- none -, , ,none,none
Uncharacterized protein TTC1240,- none -, , ,none,none
DNA-directed RNA polymerase beta&#39; subunit (EC 2.7.7.6),Mycobacterium virulence operon involved in DNA transcription; <br>RNA polymerase bacterial, , ,Invasion and intracellular resistance; Transcription,"RNA Metabolism; Virulence, Disease and Defense"
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),Mycobacterium virulence operon involved in DNA transcription; <br>RNA polymerase bacterial, , ,Invasion and intracellular resistance; Transcription,"RNA Metabolism; Virulence, Disease and Defense"
LSU ribosomal protein L7p/L12p (P1/P2),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L10p (P0),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L1p (L10Ae),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L11p (L12e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Transcription antitermination protein NusG,Transcription factors bacterial, , ,Transcription,RNA Metabolism
Protein translocase subunit SecE,Protein transport, , ,Protein transport,Membrane Transport
Translation elongation factor Tu,Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Translation elongation factors bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
Ribosome hibernation promoting factor Hpf,- none -, , ,none,none
Site-specific tyrosine recombinase XerC,- none -, , ,none,none
SSU ribosomal protein S21p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Acyl-CoA dehydrogenase,- none -, , ,none,none
FIG01092483: hypothetical protein,- none -, , ,none,none
Cystathionine beta-synthase (EC 4.2.1.22),Cysteine Biosynthesis; <br>Glycine and Serine Utilization, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Ribonuclease HII (EC 3.1.26.4),Ribonuclease H, , ,RNA processing and modification,RNA Metabolism
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181),- none -, , ,none,none
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6),"tRNA aminoacylation, Lys", , ,Protein biosynthesis,Protein Metabolism
CDP-alcohol phosphatidyltransferase,- none -, , ,none,none
"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",- none -, , ,none,none
Hemagglutinin,- none -, , ,none,none
"pyridoxal phosphate-dependent deaminase, putative",- none -, , ,none,none
Uncharacterized protein Fjoh_1910,- none -, , ,none,none
Urocanate hydratase (EC 4.2.1.49),Histidine Degradation, , ,Histidine Metabolism,Amino Acids and Derivatives
putative lipoprotein,- none -, , ,none,none
Phenylalanine-4-hydroxylase (EC 1.14.16.1) / N-terminal regulatory domain,Aromatic amino acid degradation; <br>Pterin carbinolamine dehydratase; <br>Pterin metabolism, , ,Aromatic amino acids and derivatives; Folate and pterines,"Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Alanyl-tRNA synthetase (EC 6.1.1.7),"CBSS-226186.1.peg.3994; <br>tRNA aminoacylation, Ala", , ,Protein biosynthesis,Protein Metabolism
"Peptidase, family M23 (EC 3.4.24.-)",CBSS-226186.1.peg.3994; Protein degradation, , ,Protein degradation,Protein Metabolism
"Transcriptional regulator, MerR family",none, , ,RNA processing and modification; Resistance to antibiotics and toxic compounds,"RNA Metabolism; Virulence, Disease and Defense"
LemA family protein,- none -, , ,none,none
FIG014338: Hypothetical protein,- none -, , ,none,none
Beta-propeller domains of methanol dehydrogenase type,- none -, , ,none,none
GTP-binding protein EngA,- none -, , ,none,none
GTP-binding protein Era,CBSS-176299.4.peg.1292; <br>Glycyl-tRNA synthetase containing cluster, , ,none,none
AraC-type DNA-binding domain-containing proteins-like,- none -, , ,none,none
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),Pterin carbinolamine dehydratase; <br>Pterin metabolism, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
N-Acyltransferase,- none -, , ,none,none
Transcription regulator [contains diacylglycerol kinase catalytic domain],none, , ,RNA processing and modification,RNA Metabolism
Bis-ABC ATPase YheS,- none -, , ,none,none
FAD-dependent cmnm(5)s(2)U34 oxidoreductase,- none -, , ,none,none
GldN,- none -, , ,none,none
GldJ,- none -, , ,none,none
DNA topoisomerase I (EC 5.99.1.2),"CBSS-272943.3.peg.1367; <br>DNA topoisomerases, Type I, ATP-independent", , ,DNA replication,DNA Metabolism
tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3),tRNA methylthiolation, , ,RNA processing and modification,RNA Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
Protein translocase membrane subunit SecG,Protein transport, , ,Protein transport,Membrane Transport
