Function,Subsystem,NCBI GI,locus,System,Category
Demethylmenaquinone methyltransferase (EC 2.1.1.163),- none -, , ,none,none
Dihydrofolate reductase (EC 1.5.1.3),5-FCL-like protein; <br>Folate Biosynthesis, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
2TM domain (pfam13239),- none -, , ,none,none
"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)",- none -, , ,none,none
Thymidylate synthase (EC 2.1.1.45),Folate Biosynthesis; <br>pyrimidine conversions, , ,Folate and pterines; Pyrimidines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Nucleosides and Nucleotides"
"Electron transfer flavoprotein, alpha subunit",Acetyl-CoA fermentation to Butyrate, , ,Fermentation,Carbohydrates
"Electron transfer flavoprotein, beta subunit",Acetyl-CoA fermentation to Butyrate, , ,Fermentation,Carbohydrates
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1),"Dehydrogenase complexes; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism,Carbohydrates
HhH-GPD base excision DNA repair family protein; Probable 3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,none, , ,DNA repair,DNA Metabolism
Inorganic pyrophosphatase (EC 3.6.1.1),Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
Pyrophosphate-energized proton pump (EC 3.6.1.1),Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
Helix-turn-helix motif,- none -, , ,none,none
Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113),Purine conversions; <br>Purine conversions, , ,Purines,Nucleosides and Nucleotides
putative membrane protein,- none -, , ,none,none
S-adenosylmethionine synthetase (EC 2.5.1.6),Methionine Biosynthesis; <br>Methionine Degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),Methionine Biosynthesis; <br>Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Homoserine dehydrogenase (EC 1.1.1.3),Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Homoserine O-acetyltransferase (EC 2.3.1.31),Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
"Transporter, LysE family",none, , ,Membrane Transport - no subcategory,Membrane Transport
OsmC/Ohr family protein,- none -, , ,none,none
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),Methionine Biosynthesis; <br>Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
"Predicted transcriptional regulator of sulfate transport, Rrf2 family",none, , ,Membrane Transport - no subcategory; RNA processing and modification; Transcription,Membrane Transport; RNA Metabolism
putative membrane protein,- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10),- none -, , ,none,none
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),Cysteine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4),Cysteine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Ferredoxin--sulfite reductase (EC 1.8.7.1),- none -, , ,none,none
Uroporphyrinogen-III methyltransferase (EC 2.1.1.107),Heme and Siroheme Biosynthesis, , ,Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4),Heme and Siroheme Biosynthesis, , ,Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Thioredoxin reductase (EC 1.8.1.9),Thioredoxin-disulfide reductase; <br>pyrimidine conversions, , ,Pyrimidines; Sulfur Metabolism - no subcategory,Nucleosides and Nucleotides; Sulfur Metabolism
"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), N-terminal domain",- none -, , ,none,none
"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), C-terminal domain",- none -, , ,none,none
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",5-FCL-like protein; <br>Methionine Biosynthesis; <br>One-carbon metabolism by tetrahydropterines, , ,"Folate and pterines; Lysine, threonine, methionine, and cysteine; One-carbon Metabolism","Amino Acids and Derivatives; Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
SAM-dependent methyltransferase,- none -, , ,none,none
"proton/glutamate symporter family protein, putative",none, , ,Uni- Sym- and Antiporters,Membrane Transport
Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28),Aromatic amino acid degradation; <br>Auxin biosynthesis, , ,Aromatic amino acids and derivatives; Plant Hormones,Amino Acids and Derivatives; Secondary Metabolism
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
putative iron-regulated membrane protein,- none -, , ,none,none
Putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Gliding motility-associated ABC transporter ATP-binding protein GldA,none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, AsnC family",none, , ,RNA processing and modification,RNA Metabolism
"dNTP triphosphohydrolase, broad substrate specificity, subgroup 3",Purine conversions; <br>dNTP triphosphohydrolase protein family, , ,Nucleosides and Nucleotides - no subcategory; Purines,Nucleosides and Nucleotides
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),Isoprenoid Biosynthesis; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory; Isoprenoids; Pyridoxine","Cofactors, Vitamins, Prosthetic Groups, Pigments; Fatty Acids, Lipids, and Isoprenoids"
tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),- none -, , ,none,none
Large extracellular alpha-helical protein,- none -, , ,none,none
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),Protein degradation, , ,Protein degradation,Protein Metabolism
Ribonuclease G,Nuclease, , ,RNA processing and modification,RNA Metabolism
Integration host factor alpha/beta,"DNA structural proteins, bacterial", , ,DNA Metabolism - no subcategory,DNA Metabolism
A/G-specific adenine glycosylase (EC 3.2.2.-),"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
Single-stranded DNA-binding protein,"DNA repair, bacterial; <br>DNA repair, bacterial RecFOR pathway", , ,DNA repair,DNA Metabolism
Hemolysins and related proteins containing CBS domains,- none -, , ,none,none
GldD,- none -, , ,none,none
"Periplasmic mercury(+2) binding protein, MerP",- none -, , ,none,none
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
FIG015287: Zinc protease,Protein degradation, , ,Protein degradation,Protein Metabolism
"FIG015547: peptidase, M16 family",Protein degradation, , ,Protein degradation,Protein Metabolism
LSU ribosomal protein L21p,CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L27p,CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Outer membrane assembly protein,- none -, , ,none,none
TRNA (Ms[2]io[6]A) -hydroxylase (EC 1.-.-.-),- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
COGs COG3558,- none -, , ,none,none
Macrophage infectivity potentiator-related protein,- none -, , ,none,none
Aminopeptidase,Aminopeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),"5-FCL-like protein; <br>Dehydrogenase complexes; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism; Folate and pterines,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1),"Dehydrogenase complexes; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism,Carbohydrates
Cytidine deaminase (EC 3.5.4.5),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
GldJ,- none -, , ,none,none
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10),- none -, , ,none,none
Protease precursor,Protein degradation, , ,Protein degradation,Protein Metabolism
"Bacteriocin/lantibiotic efflux ABC transporter, permease/ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
lysosomal glucosyl ceramidase-like protein,- none -, , ,none,none
beta-glucosidase (EC 3.2.1.21),- none -, , ,none,none
FIG00487463: hypothetical protein,- none -, , ,none,none
beta-glucosidase (EC 3.2.1.21),- none -, , ,none,none
Hypothetical Nudix-like regulator,- none -, , ,none,none
DNA repair system specific for alkylated DNA,none, , ,DNA repair,DNA Metabolism
ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63),"DNA repair, bacterial; <br>DNA repair, bacterial", , ,DNA repair,DNA Metabolism
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
small multidrug resistance family (SMR) protein,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Adenosylhomocysteinase (EC 3.3.1.1),Methionine Biosynthesis; <br>Methionine Degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Siderophore (Surfactin) biosynthesis regulatory protein,Siderophore, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Phosphoglycerol geranylgeranyltransferase (EC 2.5.1.41),- none -, , ,none,none
"Ribosyl nicotinamide transporter, PnuC-like",NAD and NADP cofactor biosynthesis global; none, , ,Membrane Transport - no subcategory; NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Membrane Transport"
Ribosylnicotinamide kinase (EC 2.7.1.22) homolog / Unknown conserved in Flavobacteria,- none -, , ,none,none
Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29),- none -, , ,none,none
Thiamin-regulated outer membrane receptor Omr1,Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Transcription elongation factor GreA,Transcription factors bacterial, , ,Transcription,RNA Metabolism
HIT family protein,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),- none -, , ,none,none
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6),Protein degradation, , ,Protein degradation,Protein Metabolism
Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73),- none -, , ,none,none
2-iminoacetate synthase (ThiH) (EC 4.1.99.19),- none -, , ,none,none
Thiazole synthase (EC 2.8.1.10),- none -, , ,none,none
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),5-FCL-like protein; <br>Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory; Folate and pterines","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),- none -, , ,none,none
Thiazole tautomerase TenI (EC 5.3.99.10),- none -, , ,none,none
Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17),- none -, , ,none,none
Sulfur carrier protein ThiS,Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
DNA-3-methyladenine glycosylase (EC 3.2.2.20),- none -, , ,none,none
Putative preQ0 transporter YhhQ,none, , ,Membrane Transport - no subcategory,Membrane Transport
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5),Protein degradation, , ,Protein degradation,Protein Metabolism
Translation elongation factor Ts,CBSS-312309.3.peg.1965; <br>Ribosome recycling related cluster; <br>Translation elongation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S2p (SAe),<br>Ribosome SSU bacterial; <br>Ribosome recycling related cluster; CBSS-312309.3.peg.1965; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S9p (S16e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L13p (L13Ae),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"Transcriptional regulator, LacI/PurR family",none, , ,RNA processing and modification,RNA Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
DNA polymerase I (EC 2.7.7.7),DNA polymerase, , ,DNA replication,DNA Metabolism
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Putative phosphoesterase,- none -, , ,none,none
Redox-inactive protein similar to thioredoxin,- none -, , ,none,none
Polysaccharide deacetylase,Polysaccharide deacetylases, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
putative membrane protein,- none -, , ,none,none
Universal stress protein Coch_1269,- none -, , ,none,none
Bacterial ribosome SSU maturation protein RimP,- none -, , ,none,none
Transcription termination protein NusA,NusA-TFII Cluster; <br>Transcription factors bacterial, , ,Transcription,RNA Metabolism
Translation initiation factor 2,CBSS-138119.3.peg.2719; <br>NusA-TFII Cluster; <br>Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"Molybdopterin oxidoreductase subunit, predicted; chaperone protein HtpG",- none -, , ,none,none
"Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)",- none -, , ,none,none
Molybdopterin oxidoreductase,- none -, , ,none,none
"ABC-type Fe3+ transport system protein; Molybdenum transport protein, putative",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Putative uncharacterized protein TTHA1760,- none -, , ,none,none
Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
Cytochrome P450 hydroxylase,Cytochrome, , ,Respiration - no subcategory,Respiration
Epoxyqueuosine reductase (EC 1.17.99.6) QueG,- none -, , ,none,none
CBS domain protein,- none -, , ,none,none
NADP-dependent malic enzyme (EC 1.1.1.40),"Pyruvate metabolism I: anaplerotic reactions, PEP", , ,Central carbohydrate metabolism,Carbohydrates
Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
Glycine cleavage system H protein,Glycine and Serine Utilization; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Deoxyribose-phosphate aldolase (EC 4.1.2.4),Deoxyribose and Deoxynucleoside Catabolism, , ,Monosaccharides,Carbohydrates
"Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB",- none -, , ,none,none
Alternative cytochrome c oxidase polypeptide CoxO (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Alternative cytochrome c oxidase polypeptide CoxP (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Putative subunit of Alternative cytochrome c oxidase,Cytochrome, , ,Respiration - no subcategory,Respiration
"Hypothetical protein associated with DUF420, no CDD domain",- none -, , ,none,none
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center",Cytochrome, , ,Respiration - no subcategory,Respiration
"Terminal oxidase biogenesis protein CtaM, putative heme A, heme O chaperone",- none -, , ,none,none
Hypothetical protein DUF334,- none -, , ,none,none
"ABC-type antimicrobial peptide transport system, ATPase component",none, , ,ABC-transporters,Membrane Transport
"ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, RND-adapter-like protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, RND-adapter-like protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,- none -, , ,none,none
Small-conductance mechanosensitive channel,- none -, , ,none,none
NifU domain protein,- none -, , ,none,none
"Carbonic anhydrase, gamma class (EC 4.2.1.1)",- none -, , ,none,none
Glutamate racemase (EC 5.1.1.3),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
Outer membrane protein H precursor,Periplasmic Stress Response, , ,Periplasmic Stress,Stress Response
Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor,Periplasmic Stress Response, , ,Periplasmic Stress,Stress Response
Outer membrane protein assembly factor YaeT,- none -, , ,none,none
Undecaprenyl diphosphate synthase (EC 2.5.1.31),CBSS-83331.1.peg.3039; <br>Isoprenoid Biosynthesis; <br>Isoprenoinds for Quinones, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
NAD kinase (EC 2.7.1.23),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
CBS,- none -, , ,none,none
Pyridoxine 5&#39;-phosphate synthase (EC 2.6.99.2),Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Putative esterase/lipase ybfF (EC 3.1.-.-),- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
Cell division trigger factor (EC 5.2.1.8),Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Protein degradation, , ,Protein degradation,Protein Metabolism
ATP-dependent Clp protease ATP-binding subunit ClpX,"Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Ligand-binding SRPBCC domain protein family,- none -, , ,none,none
Glyoxalase family protein,- none -, , ,none,none
"2-oxoglutarate dehydrogenase complex, dehydrogenase component",- none -, , ,none,none
PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,- none -, , ,none,none
Phosphoserine phosphatase (EC 3.1.3.3),Glycine and Serine Utilization; <br>Serine Biosynthesis; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
putative auxin-regulated protein,- none -, , ,none,none
Lipopolysaccharide core heptosyltransferase III,- none -, , ,none,none
Outer membrane assembly protein,- none -, , ,none,none
Signal peptide peptidase SppA (protease 4),Protein degradation, , ,Protein degradation,Protein Metabolism
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) / Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113),Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Purine conversions; <br>Purine conversions, , ,Folate and pterines; Purines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Nucleosides and Nucleotides"
tRNA/rRNA methyltransferase,RNA methylation, , ,RNA processing and modification,RNA Metabolism
DNA mismatch repair protein MutS,"DNA repair, bacterial MutL-MutS system; <br>DNA repair system including RecA, MutS and a hypothetical protein", , ,DNA repair,DNA Metabolism
UPF0339 protein YegP.N / UPF0339 protein YegP.C,- none -, , ,none,none
Putative archaeal flagellar protein D/E,- none -, , ,none,none
3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13),- none -, , ,none,none
Pleiotropic regulatory protein,- none -, , ,none,none
UDP-glucose 4-epimerase (EC 5.1.3.2),Lactose and Galactose Uptake and Utilization; <br>N-linked Glycosylation in Bacteria; <br>Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides; Di- and oligosaccharides; Protein processing and modification,Carbohydrates; Cell Wall and Capsule; Protein Metabolism
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
YceI like family protein,- none -, , ,none,none
Pirin,- none -, , ,none,none
"Uncharacterized protein, YkwD family",- none -, , ,none,none
Pyridoxamine 5&#39;-phosphate oxidase (EC 1.4.3.5),Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Ribonuclease Z (EC 3.1.26.11),tRNA processing, , ,RNA processing and modification,RNA Metabolism
Aspartate carbamoyltransferase (EC 2.1.3.2),- none -, , ,none,none
Pyrimidine operon regulatory protein PyrR,- none -, , ,none,none
"conserved hypothetical protein, putative transport protein",none, , ,Membrane Transport - no subcategory,Membrane Transport
Bis-ABC ATPase YbiT,- none -, , ,none,none
