Function,Subsystem,NCBI GI,locus,System,Category
Pantoate--beta-alanine ligase (EC 6.3.2.1),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster, , ,Coenzyme A; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Similar to glycogen synthase (EC 2.4.1.21),- none -, , ,none,none
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
ATP synthase beta chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
ATP synthase epsilon chain (EC 3.6.3.14),F0F1-type ATP synthase, , ,ATP synthases,Respiration
Flavin reductase (EC 1.5.1.30),- none -, , ,none,none
8-amino-7-oxononanoate synthase (EC 2.3.1.47),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Dethiobiotin synthase BioD (EC 6.3.3.3),- none -, , ,none,none
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",- none -, , ,none,none
Regulatory protein RecX,"DNA repair system including RecA, MutS and a hypothetical protein; <br>RecA and RecX", , ,DNA repair,DNA Metabolism
Biotin synthase (EC 2.8.1.6),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),"Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>riboflavin to FAD; <br>riboflavin to FAD", , ,"Riboflavin, FMN, FAD","Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy",Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Glycyl-tRNA synthetase (EC 6.1.1.14),"Glycyl-tRNA synthetase containing cluster; <br>tRNA aminoacylation, Gly", , ,Protein biosynthesis,Protein Metabolism
Autolysis response regulater LytR,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Regulatory protein, LuxR:Response regulator receiver",Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Thiamine-monophosphate kinase (EC 2.7.4.16),5-FCL-like protein; <br>Riboflavin synthesis cluster; <br>Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory; Folate and pterines","Cofactors, Vitamins, Prosthetic Groups, Pigments"
nuclease inhibitor,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
"Transcriptional regulator, YafY family",none, , ,RNA processing and modification,RNA Metabolism
Translation elongation factor LepA,Translation elongation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),"tRNA aminoacylation, Phe", , ,Protein biosynthesis,Protein Metabolism
FIG00907129: hypothetical protein,- none -, , ,none,none
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94),Glycerol and Glycerol-3-phosphate Uptake and Utilization, , ,Sugar alcohols,Carbohydrates
NADH-dependent butanol dehydrogenase A (EC 1.1.1.-),Butanol Biosynthesis, , ,Fermentation,Carbohydrates
Intracellular protease,Protein degradation, , ,Protein degradation,Protein Metabolism
Regulatory protein CysB,- none -, , ,none,none
Hypothetical Nudix-like regulator,- none -, , ,none,none
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),De Novo Purine Biosynthesis; <br>Pentose phosphate pathway, , ,Central carbohydrate metabolism; Purines,Carbohydrates; Nucleosides and Nucleotides
Uncharacterized protein COG3236,- none -, , ,none,none
RNA:NAD 2&#39;-phosphotransferase,- none -, , ,none,none
Serine/threonine protein phosphatase (EC 3.1.3.16),- none -, , ,none,none
ADP-ribosylglycohydrolase,- none -, , ,none,none
Nicotinamide phosphoribosyltransferase (EC 2.4.2.12),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Guanylate kinase (EC 2.7.4.8),Purine conversions, , ,Purines,Nucleosides and Nucleotides
UPF0701 protein YicC,- none -, , ,none,none
Septum-associated rare lipoprotein A,- none -, , ,none,none
Uncharacterized protein Fjoh_0737,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Glucose-6-phosphate isomerase (EC 5.3.1.9),- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Peptidase, M23/M37 family",Protein degradation, , ,Protein degradation,Protein Metabolism
"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",Aromatic amino acid degradation; <br>NAD and NADP cofactor biosynthesis global, , ,Aromatic amino acids and derivatives; NAD and NADP,"Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
ATP-dependent exoDNAse (exonuclease V) alpha subunit - helicase superfamily I member,DNA helicase; Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),Aromatic amino acid degradation; <br>Homogentisate pathway of aromatic compound degradation, , ,Aromatic amino acids and derivatives; Metabolism of central aromatic intermediates,Amino Acids and Derivatives; Metabolism of Aromatic Compounds
"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)",Homogentisate pathway of aromatic compound degradation, , ,Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
putative patatin-like phospholipase,- none -, , ,none,none
Excinuclease ABC subunit C,"DNA repair, UvrABC system", , ,DNA repair,DNA Metabolism
Predicted deacylase,- none -, , ,none,none
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),5-FCL-like protein; <br>Folate Biosynthesis; <br>One-carbon metabolism by tetrahydropterines, , ,Folate and pterines; One-carbon Metabolism,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Aerotolerance protein BatE,Aerotolerance, , ,Oxidative stress,Stress Response
Aerotolerance protein BatD,Aerotolerance, , ,Oxidative stress,Stress Response
Aerotolerance protein BatC,Aerotolerance, , ,Oxidative stress,Stress Response
Aerotolerance protein BatB,Aerotolerance, , ,Oxidative stress,Stress Response
Aerotolerance protein BatA,Aerotolerance, , ,Oxidative stress,Stress Response
FIG00936810: hypothetical protein,- none -, , ,none,none
hypothetical protein PA3071,Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms, , ,none,none
MoxR-like ATPase in aerotolerance operon,Aerotolerance; Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms, , ,Oxidative stress,Stress Response
Oxidoreductase YdhF,- none -, , ,none,none
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
Cystathionine gamma-lyase (EC 4.4.1.1),Cysteine Biosynthesis; <br>Glycine and Serine Utilization; <br>Methionine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
NADP-specific glutamate dehydrogenase (EC 1.4.1.4),"Arginine and Ornithine Degradation; <br>Glutamate dehydrogenases; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Proline Synthesis", , ,"Arginine; Glutamine, glutamate, aspartate, asparagine; Glutamine, glutamate, aspartate, asparagine; Proline and 4-hydroxyproline; ammonia assimilation; ammonia assimilation; urea cycle, polyamines",Amino Acids and Derivatives
Immunoreactive 84kD antigen PG93,- none -, , ,none,none
DNA recombination and repair protein RecO,"CBSS-176299.4.peg.1292; <br>DNA repair, bacterial RecFOR pathway; <br>Glycyl-tRNA synthetase containing cluster", , ,DNA repair,DNA Metabolism
Isoleucyl-tRNA synthetase (EC 6.1.1.5),"tRNA aminoacylation, Ile", , ,Protein biosynthesis,Protein Metabolism
"DnaK suppressor protein, putative",- none -, , ,none,none
Lipoprotein signal peptidase (EC 3.4.23.36),Protein degradation; Signal peptidase, , ,Protein degradation; Protein processing and modification,Protein Metabolism
ATP-dependent helicase,- none -, , ,none,none
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),Glycine Biosynthesis; <br>Glycine and Serine Utilization, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
OmpA domain protein,- none -, , ,none,none
"ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Hydrolase, alpha/beta fold family",- none -, , ,none,none
Proline iminopeptidase (EC 3.4.11.5),"Proline, 4-hydroxyproline uptake and utilization; Protein degradation", , ,Proline and 4-hydroxyproline; Protein degradation,Amino Acids and Derivatives; Protein Metabolism
Xaa-Pro aminopeptidase (EC 3.4.11.9),Aminopeptidases; Aminopeptidases (EC 3.4.11.-); Protein degradation, , ,Protein degradation,Protein Metabolism
Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10),Isoprenoid Biosynthesis; <br>Mevalonate Branch of Isoprenoid Biosynthesis, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
Succinate dehydrogenase cytochrome b subunit,Cytochrome, , ,Respiration - no subcategory,Respiration
Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),- none -, , ,none,none
Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1),- none -, , ,none,none
beta-glycosyl hydrolase,- none -, , ,none,none
"Transcriptional repressor of the fructose operon, DeoR family",- none -, , ,none,none
Microsomal dipeptidase (EC 3.4.13.19),Dipeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
Type III PLP / low-specificity D-threonine aldolase,Threonine degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),- none -, , ,none,none
"Sugar kinase, ribokinase family",- none -, , ,none,none
"RidA/YER057c/UK114 superfamily, group 1",- none -, , ,none,none
"Gluconate permease, Bsu4004 homolog",- none -, , ,none,none
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Aliphatic amidase AmiE (EC 3.5.1.4),- none -, , ,none,none
Lactoylglutathione lyase and related lyases,- none -, , ,none,none
Putative cytochrome P450 hydroxylase,Cytochrome, , ,Respiration - no subcategory,Respiration
Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),"Riboflavin, FMN and FAD metabolism; <br>Riboflavin synthesis cluster; <br>riboflavin to FAD", , ,"Riboflavin, FMN, FAD","Cofactors, Vitamins, Prosthetic Groups, Pigments"
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),ECSIG4-SIG7; <br>Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"FIG01269488: protein, clustered with ribosomal protein L32p",Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent",Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",- none -, , ,none,none
Biotin carboxyl carrier protein of acetyl-CoA carboxylase,Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Transcriptional regulatory protein zraR,none, , ,RNA processing and modification,RNA Metabolism
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Prolyl oligopeptidase family protein,Protein degradation, , ,Protein degradation,Protein Metabolism
Oxidoreductase,- none -, , ,none,none
Monofunctional biosynthetic peptidoglycan transglycosylase,- none -, , ,none,none
4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein,- none -, , ,none,none
PhnB protein,- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Inner membrane protein YqiK,- none -, , ,none,none
Methylglutaconyl-CoA hydratase (EC 4.2.1.18),- none -, , ,none,none
"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50)",- none -, , ,none,none
"UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)",- none -, , ,none,none
probable deca-heme c-type cytochrome,Cytochrome, , ,Respiration - no subcategory,Respiration
"Hydrolase, alpha/beta fold family",- none -, , ,none,none
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Single-stranded-DNA-specific exonuclease RecJ,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
Type III effector HopPmaJ,- none -, , ,none,none
16S rRNA (cytidine(1402)-2&#39;-O)-methyltransferase (EC 2.1.1.198),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Thymidine kinase (EC 2.7.1.21),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
RNA polymerase sigma-54 factor RpoN,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Asparaginyl-tRNA synthetase (EC 6.1.1.22),"tRNA aminoacylation, Asp and Asn", , ,Protein biosynthesis,Protein Metabolism
Putative membrane protease YugP,Protein degradation, , ,Protein degradation,Protein Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
Sensory box histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Hydrolase, alpha/beta fold family",- none -, , ,none,none
Leucyl-tRNA synthetase (EC 6.1.1.4),"tRNA aminoacylation, Leu", , ,Protein biosynthesis,Protein Metabolism
DNA-binding domain of ModE / Molybdate-binding domain of ModE,- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell-division-associated, ABC-transporter-like signaling protein FtsX",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Undecaprenyl-diphosphatase (EC 3.6.1.27),- none -, , ,none,none
tRNA pseudouridine(55) synthase (EC 5.4.99.25),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
Uncharacterized protein Fjoh_0571,- none -, , ,none,none
Uridylate kinase (EC 2.7.4.22),- none -, , ,none,none
Ribosome recycling factor,Ribosome recycling related cluster; <br>Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Cation/H+ antiporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
"Putative two-component system sensor protein, no kinase domain",Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
small multidrug resistance family (SMR) protein,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Cation/H+ antiporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
"Exporter protein, RND family",- none -, , ,none,none
"Transcriptional regulator, AsnC family",none, , ,RNA processing and modification,RNA Metabolism
Uroporphyrinogen-III synthase (EC 4.2.1.75),Heme and Siroheme Biosynthesis, , ,Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Dolichol-phosphate mannosyltransferase,- none -, , ,none,none
Dihydroorotase (EC 3.5.2.3),- none -, , ,none,none
3-beta hydroxysteroid dehydrogenase/isomerase family protein,- none -, , ,none,none
Tyrosyl-tRNA synthetase (EC 6.1.1.1),"tRNA aminoacylation, Tyr", , ,Protein biosynthesis,Protein Metabolism
Possible acyl protein synthase/acyl-CoA reductase-like protein,- none -, , ,none,none
TonB-dependent receptor Fjoh_0545,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"Two-component transcriptional response regulator Fjoh_0544, OmpR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Membrane anchored sensor signal transduction histidine kinase Fjoh_0543,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),- none -, , ,none,none
Aspartokinase (EC 2.7.2.4),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",- none -, , ,none,none
dCMP deaminase (EC 3.5.4.12),- none -, , ,none,none
Carboxy-terminal processing protease,Protein degradation, , ,Protein degradation,Protein Metabolism
Cytochrome P-450:NADPH-P-450 reductase,Cytochrome, , ,Respiration - no subcategory,Respiration
Putative periplasmic protein-TrxB,- none -, , ,none,none
Uncharacterized protein Celal_1730,- none -, , ,none,none
MarC family integral membrane protein,- none -, , ,none,none
"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)",Ribonucleotide reduction, , ,Nucleosides and Nucleotides - no subcategory,Nucleosides and Nucleotides
"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",Ribonucleotide reduction, , ,Nucleosides and Nucleotides - no subcategory,Nucleosides and Nucleotides
Protein of unknown function (DUF1501),- none -, , ,none,none
GepA protein,- none -, , ,none,none
Prephenate dehydratase (EC 4.2.1.51),Phenylalanine and Tyrosine Branches from Chorismate, , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Phenylalanine and Tyrosine Branches from Chorismate; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Aromatic amino acids and derivatives; Glutamine, glutamate, aspartate, asparagine; Lysine, threonine, methionine, and cysteine; ammonia assimilation",Amino Acids and Derivatives
Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43),Phenylalanine and Tyrosine Branches from Chorismate, , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54) / Chorismate mutase I (EC 5.4.99.5),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate); <br>Phenylalanine and Tyrosine Branches from Chorismate, , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Ribosome small subunit biogenesis RbfA-release protein RsgA,- none -, , ,none,none
D-aminoacyl-tRNA deacylase (EC 3.1.1.96),- none -, , ,none,none
3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19),- none -, , ,none,none
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17),- none -, , ,none,none
Kynureninase (EC 3.7.1.3),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
OmpA family outer membrane protein,- none -, , ,none,none
N-acyl-homoserine lactone acylase,- none -, , ,none,none
Kynurenine 3-monooxygenase (EC 1.14.13.9),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Uncharacterized protein YjgR,- none -, , ,none,none
MotA/TolQ/ExbB proton channel family protein,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Biopolymer transport protein ExbD/TolR,Ton and Tol transport systems; none, , ,Membrane Transport - no subcategory,Membrane Transport
Biopolymer transport protein ExbD/TolR,Ton and Tol transport systems; none, , ,Membrane Transport - no subcategory,Membrane Transport
putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"Putative phosphate ABC transporter, phosphate-binding component",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Tetratricopeptide repeat family protein,- none -, , ,none,none
7-carboxy-7-deazaguanine synthase (EC 4.3.99.3),- none -, , ,none,none
Putative metal-dependent hydrolase YfiT,- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
"ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
FIG00896358: hypothetical protein,- none -, , ,none,none
Cytochrome c552 precursor (EC 1.7.2.2),<br>Soluble cytochromes and functionally related electron carriers; Cytochrome; Nitrate and nitrite ammonification, , ,Nitrogen Metabolism - no subcategory; Respiration - no subcategory,Nitrogen Metabolism; Respiration
"Cytochrome c nitrite reductase, small subunit NrfH",Cytochrome; Nitrate and nitrite ammonification, , ,Nitrogen Metabolism - no subcategory; Respiration - no subcategory,Nitrogen Metabolism; Respiration
Alkaline phosphatase (EC 3.1.3.1); Type I phosphodiesterase/nucleotide pyrophosphatase precursor,Phosphate metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines; Phosphorus Metabolism - no subcategory,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Phosphorus Metabolism"
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Aminotransferase, class I and II",- none -, , ,none,none
L-alanine-DL-glutamate epimerase (EC 5.1.1.n1),- none -, , ,none,none
"putative alpha-dextrin endo-1, 6-alpha-glucosidase",- none -, , ,none,none
Excinuclease ABC subunit B,"DNA repair, UvrABC system", , ,DNA repair,DNA Metabolism
carboxylesterase NA,- none -, , ,none,none
23S rRNA (adenine(1618)-N(6))-methyltransferase (EC 2.1.1.181),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Thiamin pyrophosphokinase (EC 2.7.6.2),Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
RidA/YER057c/UK114 superfamily protein,- none -, , ,none,none
GTP-binding and nucleic acid-binding protein YchF,- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42),5-FCL-like protein, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
LSU ribosomal protein L19p,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Beta-lactamase (EC 3.5.2.6),Beta-lactamase, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Membrane protein,- none -, , ,none,none
Aspartate racemase (EC 5.1.1.13),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
Pectin degradation protein KdgF,- none -, , ,none,none
Sugar or sugar phosphate isomerase/epimerase/dehydrotase,- none -, , ,none,none
Sugar phosphate isomerases/epimerases,- none -, , ,none,none
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
Regulator of nucleoside diphosphate kinase,Transcription factors bacterial, , ,Transcription,RNA Metabolism
Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein,- none -, , ,none,none
Non-heme chloroperoxidase (EC 1.11.1.10),- none -, , ,none,none
Protein secretion chaperonin CsaA,- none -, , ,none,none
