Function,Subsystem,NCBI GI,locus,System,Category
"Glutamine synthetase type III, GlnN (EC 6.3.1.2)","Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Glutamine synthetases", , ,"Glutamine, glutamate, aspartate, asparagine; Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
Integral membrane protein TerC,- none -, , ,none,none
Intracellular protease,Protein degradation, , ,Protein degradation,Protein Metabolism
B12 binding domain / kinase domain / Methylmalonyl-CoA mutase (EC 5.4.99.2),- none -, , ,none,none
Formyltetrahydrofolate deformylase (EC 3.5.1.10),5-FCL-like protein; <br>One-carbon metabolism by tetrahydropterines, , ,Folate and pterines; One-carbon Metabolism,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Beta-ketoadipate enol-lactone hydrolase, putative",- none -, , ,none,none
Probable thiol oxidoreductase with 2 cytochrome c heme-binding sites,Cytochrome, , ,Respiration - no subcategory,Respiration
Iron-regulated protein A precursor,- none -, , ,none,none
Iron-regulated protein A precursor,- none -, , ,none,none
Vitamin K-dependent gamma-carboxylase (EC 6.4.-.-),- none -, , ,none,none
Iron(III) dicitrate transport protein FecA,none, , ,Membrane Transport - no subcategory,Membrane Transport
"ABC-type Fe3+-hydroxamate transport system, periplasmic component",none, , ,ABC-transporters,Membrane Transport
Orotidine 5&#39;-phosphate decarboxylase (EC 4.1.1.23),Riboflavin synthesis cluster, , ,none,none
Peptide chain release factor 1,Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Carbon starvation protein A,Carbon Starvation, , ,Stress Response - no subcategory,Stress Response
Secreted and surface protein containing fasciclin-like repeats,- none -, , ,none,none
DNA topoisomerase III (EC 5.99.1.2),"DNA processing cluster; <br>DNA topoisomerases, Type I, ATP-independent", , ,"DNA replication; DNA uptake, competence",DNA Metabolism
Ferrichrome-iron receptor,- none -, , ,none,none
putative iron-regulated membrane protein,- none -, , ,none,none
Bacterial non-heme ferritin (EC 1.16.3.2),- none -, , ,none,none
Ferrichrome-iron receptor,- none -, , ,none,none
Valyl-tRNA synthetase (EC 6.1.1.9),"tRNA aminoacylation, Val", , ,Protein biosynthesis,Protein Metabolism
Alanine transaminase (EC 2.6.1.2),- none -, , ,none,none
GTP cyclohydrolase I (EC 3.5.4.16) type 1,Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Pterin metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Cysteinyl-tRNA synthetase (EC 6.1.1.16),"tRNA aminoacylation, Cys", , ,Protein biosynthesis,Protein Metabolism
Membrane protein insertion efficiency factor YidD,- none -, , ,none,none
Prolipoprotein diacylglyceryl transferase,- none -, , ,none,none
Endonuclease/exonuclease/phosphatase,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
Glutaminase (EC 3.5.1.2),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
DNA-binding response regulator DegU,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Replicative DNA helicase (DnaB) (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2),Fatty Acid Biosynthesis FASII; <br>Pterin synthesis related cluster, , ,Fatty acids; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Fatty Acids, Lipids, and Isoprenoids"
Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase (EC 2.7.8.20),- none -, , ,none,none
Lipopolysaccharide export system permease protein LptG,Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
Queuine tRNA-ribosyltransferase (EC 2.4.2.29),- none -, , ,none,none
small multidrug resistance family (SMR) protein,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Amidohydrolase 3,- none -, , ,none,none
Esterase/lipase/thioesterase family protein,- none -, , ,none,none
Rhomboid family protein,- none -, , ,none,none
Acid-resistant locus arl7 (Fragment),none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Rhodanese-like protein,- none -, , ,none,none
"NADH:flavin oxidoreductases, Old Yellow Enzyme family",- none -, , ,none,none
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
"Transketolase, N-terminal section (EC 2.2.1.1)",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
"Transketolase, C-terminal section (EC 2.2.1.1)",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog),DNA replication cluster 1; none, , ,Heat shock,Stress Response
Uncharacterized protein SAV2112,- none -, , ,none,none
Shikimate kinase I (EC 2.7.1.71),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Carboxyl-terminal protease,Protein degradation, , ,Protein degradation,Protein Metabolism
putative surface layer protein,- none -, , ,none,none
Outer membrane vitamin B12 receptor BtuB,- none -, , ,none,none
"Vitamin B12 ABC transporter, substrate-binding protein BtuF",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Vitamin B12 ABC transporter, permease protein BtuC",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Vitamin B12 ABC transporter, ATP-binding protein BtuD",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
tRNA (cytidine(34)-2&#39;-O)-methyltransferase (EC 2.1.1.207),RNA methylation, , ,RNA processing and modification,RNA Metabolism
LSU rRNA pseudouridine(2457) synthase (EC 5.4.99.20),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
DNA recombination protein RmuC,"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
Acyl CoA thioester hydrolase family protein,- none -, , ,none,none
Cell division inhibitor SulA,- none -, , ,none,none
Uncharacterized ABC1 family protein CHU_0987,- none -, , ,none,none
Asl0491 protein,- none -, , ,none,none
Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),- none -, , ,none,none
GTP cyclohydrolase I (EC 3.5.4.16) type 1,Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Pterin metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
probable oxidoreductase-putative NAD-dependent nucleoside-diphosphate-sugar epimerase,- none -, , ,none,none
Deoxyribodipyrimidine photolyase (EC 4.1.99.3),"DNA repair, bacterial photolyase", , ,DNA repair,DNA Metabolism
Cell division inhibitor SulA,- none -, , ,none,none
Beta-carotene hydroxylase,Myxoxanthophyll biosynthesis in Cyanobacteria, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
Phytoene synthase (EC 2.5.1.32),- none -, , ,none,none
Phytoene dehydrogenase (EC 1.14.99.-),- none -, , ,none,none
"Transcriptional regulator, MerR family",none, , ,RNA processing and modification; Resistance to antibiotics and toxic compounds,"RNA Metabolism; Virulence, Disease and Defense"
Nitroreductase family protein,- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
Ligand-binding SRPBCC domain protein family,- none -, , ,none,none
peptidase M20,Protein degradation, , ,Protein degradation,Protein Metabolism
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5),- none -, , ,none,none
LSU ribosomal protein L34p,Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Membrane-bound lytic murein transglycosylase D,- none -, , ,none,none
Conserved hyperthetical protein,- none -, , ,none,none
Bis-ABC ATPase YheS.2,- none -, , ,none,none
Predicted esterase,- none -, , ,none,none
Putative sodium/proton-dependent alanine carrier protein YrbD,- none -, , ,none,none
Sugar-phosphate nucleotidyl transferase,- none -, , ,none,none
"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent",<br>Ribosome LSU bacterial; Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"Glycosyl transferase, group 2 family",- none -, , ,none,none
Phosphoglucomutase (EC 5.4.2.2),- none -, , ,none,none
"Efflux ABC transporter, permease/ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
FIG034863: hypothetical protein,- none -, , ,none,none
Cell division ZapA family protein,Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
Ribonuclease Y,Nuclease, , ,RNA processing and modification,RNA Metabolism
Site-specific tyrosine recombinase XerD,- none -, , ,none,none
3-dehydroquinate dehydratase II (EC 4.2.1.10),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate); <br>Quinate degradation, , ,Aromatic amino acids and derivatives; Peripheral pathways for catabolism of aromatic compounds,Amino Acids and Derivatives; Metabolism of Aromatic Compounds
Cobalt-zinc-cadmium resistance protein,Cobalt-zinc-cadmium resistance, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),- none -, , ,none,none
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
Methionyl-tRNA formyltransferase (EC 2.1.2.9),Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
DNA-binding protein HU-beta,"DNA structural proteins, bacterial", , ,DNA Metabolism - no subcategory,DNA Metabolism
"Transcriptional regulator, ArsR family",none, , ,RNA processing and modification,RNA Metabolism
Aminodeoxychorismate lyase (EC 4.1.3.38),"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Folate Biosynthesis; <br>Tryptophan synthesis", , ,Aromatic amino acids and derivatives; Folate and pterines,"Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Ligand-binding SRPBCC domain protein family 2,- none -, , ,none,none
"Transcriptional regulator, PadR family",none, , ,RNA processing and modification,RNA Metabolism
Thioredoxin reductase (EC 1.8.1.9),Thioredoxin-disulfide reductase; <br>pyrimidine conversions, , ,Pyrimidines; Sulfur Metabolism - no subcategory,Nucleosides and Nucleotides; Sulfur Metabolism
Chromosome (plasmid) partitioning protein ParA,- none -, , ,none,none
Chromosome (plasmid) partitioning protein ParB,- none -, , ,none,none
FIG00649665: hypothetical protein,- none -, , ,none,none
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch", , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Signal peptidase I (EC 3.4.21.89),<br>Signal peptidase; CBSS-176299.4.peg.1292; Protein degradation, , ,Protein degradation; Protein processing and modification,Protein Metabolism
Rhomboid family protein,- none -, , ,none,none
Rhomboid family protein,- none -, , ,none,none
DNA mismatch repair protein MutL,"DNA repair, bacterial MutL-MutS system", , ,DNA repair,DNA Metabolism
"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin synthesis cluster", , ,"Riboflavin, FMN, FAD","Cofactors, Vitamins, Prosthetic Groups, Pigments"
FIG170660: TPR domain protein,CBSS-226186.1.peg.4253, , ,none,none
DNA recombination and repair protein RecF,"CBSS-226186.1.peg.4253; <br>DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1", , ,DNA repair,DNA Metabolism
Protein containing rhodanese-like domain,- none -, , ,none,none
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98),- none -, , ,none,none
N-acetylglucosaminyltransferase (EC 2.4.1.-),- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),Glycerol and Glycerol-3-phosphate Uptake and Utilization, , ,Sugar alcohols,Carbohydrates
FIG01092102: hypothetical protein,- none -, , ,none,none
putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Lipoyl synthase (EC 2.8.1.8),- none -, , ,none,none
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Purine nucleoside phosphorylase (EC 2.4.2.1),Adenosyl nucleosidases; <br>Deoxyribose and Deoxynucleoside Catabolism; <br>Purine conversions; <br>pyrimidine conversions, , ,Monosaccharides; Nucleosides and Nucleotides - no subcategory; Purines; Pyrimidines,Carbohydrates; Nucleosides and Nucleotides
Tetraacyldisaccharide 4&#39;-kinase (EC 2.7.1.130),- none -, , ,none,none
GTP cyclohydrolase 1 type 2 homolog YbgI @ Bsu YqfO NIF3/CutA domain,- none -, , ,none,none
FIG137478: Hypothetical protein,- none -, , ,none,none
"hydrolase, putative",- none -, , ,none,none
LSU rRNA pseudouridine(2604) synthase (EC 5.4.99.21),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
D-lactate dehydrogenase (EC 1.1.1.28),Fermentations: Lactate, , ,Fermentation,Carbohydrates
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6),"tRNA aminoacylation, Lys", , ,Protein biosynthesis,Protein Metabolism
putative lipoprotein,- none -, , ,none,none
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center",Cytochrome, , ,Respiration - no subcategory,Respiration
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181),- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Magnesium and cobalt transport protein CorA,Magnesium transport; none, , ,Cation transporters; Membrane Transport - no subcategory,Membrane Transport
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5),5-FCL-like protein; <br>One-carbon metabolism by tetrahydropterines; <br>One-carbon metabolism by tetrahydropterines, , ,Folate and pterines; One-carbon Metabolism,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Signal recognition particle protein Ffh,- none -, , ,none,none
Arginyl-tRNA synthetase (EC 6.1.1.19),"tRNA aminoacylation, Arg", , ,Protein biosynthesis,Protein Metabolism
Putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",- none -, , ,none,none
FIG01093517: hypothetical protein,- none -, , ,none,none
"multiple sugar-binding ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
OmpA family protein,- none -, , ,none,none
Chaperone protein HtpG,Protein chaperones, , ,Protein folding,Protein Metabolism
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
"Hydrolase, alpha/beta fold family",- none -, , ,none,none
AhpC/Tsa family protein GSU0066,- none -, , ,none,none
"Transcriptional regulator, HxlR family",none, , ,RNA processing and modification,RNA Metabolism
Oar protein,- none -, , ,none,none
AP superfamily protein,- none -, , ,none,none
cyclic nucleotide-binding domain protein,- none -, , ,none,none
"Transcriptional regulator, HxlR family",none, , ,RNA processing and modification,RNA Metabolism
Glyoxalase family protein,- none -, , ,none,none
Putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Protein of unknown function (DUF1501),- none -, , ,none,none
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
Asl0491 protein,- none -, , ,none,none
Mannose-6-phosphate isomerase (EC 5.3.1.8),Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),Pterin metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2),- none -, , ,none,none
Ribosomal-protein-alanine acetyltransferase,- none -, , ,none,none
Quinone oxidoreductase (EC 1.6.5.5),Quinone oxidoreductase family, , ,Respiration - no subcategory,Respiration
NAD-utilizing dehydrogenases,- none -, , ,none,none
Phospholipid/glycerol acyltransferase,- none -, , ,none,none
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Glycosyl transferase,- none -, , ,none,none
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
D-arabinose-5-phosphate isomerase (EC 5.3.1.13),- none -, , ,none,none
Twin-arginine translocation protein TatC,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",none, , ,ABC-transporters; Gram-Negative cell wall components; Membrane Transport - no subcategory,Cell Wall and Capsule; Membrane Transport
"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)",- none -, , ,none,none
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),- none -, , ,none,none
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),- none -, , ,none,none
Capsular polysaccharide biosynthesis protein capD,Capsular Polysaccharides Biosynthesis and Assembly; Polysaccharide biosynthesis, , ,Capsular and extracellular polysacchrides; Polysaccharides,Carbohydrates; Cell Wall and Capsule
Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),- none -, , ,none,none
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
UDP-glucose 4-epimerase (EC 5.1.3.2),Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
"glycosyl transferase, group 1",- none -, , ,none,none
dTDP-rhamnosyl transferase RfbF,- none -, , ,none,none
O-antigen flippase Wzx,- none -, , ,none,none
"dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)",- none -, , ,none,none
putative glycolate oxidase,- none -, , ,none,none
putative protein involved in capsular polysaccharide biosynthesis,Capsular Polysaccharides Biosynthesis and Assembly, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Polysialic acid transport protein KpsD precursor,none, , ,Membrane Transport - no subcategory,Membrane Transport
Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13),- none -, , ,none,none
UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136),- none -, , ,none,none
Transcriptional activator RfaH,Transcription factors bacterial, , ,Transcription,RNA Metabolism
UDP-glucose 6-dehydrogenase (EC 1.1.1.22),- none -, , ,none,none
UDP-glucose 4-epimerase (EC 5.1.3.2),Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Recombination protein RecR,"DNA processing cluster; <br>DNA repair, bacterial RecFOR pathway", , ,"DNA repair; DNA uptake, competence",DNA Metabolism
Sodium/iodide co-transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Predicted CoA-binding domain COG1832,- none -, , ,none,none
UPF0056 inner membrane protein MarC,- none -, , ,none,none
"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",Dimethylarginine metabolism, , ,Stress Response - no subcategory,Stress Response
Citrate synthase (si) (EC 2.3.3.1),- none -, , ,none,none
Enolase (EC 4.2.1.11),- none -, , ,none,none
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5),- none -, , ,none,none
LSU ribosomal protein L17p,Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),RNA polymerase bacterial, , ,Transcription,RNA Metabolism
"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent",Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S11p (S14e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S13p (S18e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent",Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Translation initiation factor 1,Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Protein translocase subunit SecY,Protein transport, , ,Protein transport,Membrane Transport
