Function,Subsystem,NCBI GI,locus,System,Category
G/U mismatch-specific uracil DNA glycosylase (EC 3.2.2.28),- none -, , ,none,none
DNA-3-methyladenine glycosylase II (EC 3.2.2.21),DNA Repair Base Excision, , ,DNA repair,DNA Metabolism
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system,none, , ,Uni- Sym- and Antiporters,Membrane Transport
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
Oxidoreductase of short-chain,- none -, , ,none,none
Circadian clock protein KaiC,- none -, , ,none,none
Circadian oscillation regulator KaiB,- none -, , ,none,none
Circadian oscillation regulator KaiB,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Methionine ABC transporter substrate-binding protein,<br>Methionine Degradation; Methionine Biosynthesis; none, , ,"Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
Methionine ABC transporter permease protein,none, , ,"ABC-transporters; Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
Methionine ABC transporter ATP-binding protein,none, , ,"ABC-transporters; Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
Peroxiredoxin OsmC (EC 1.11.1.15),- none -, , ,none,none
Bll0272 protein,- none -, , ,none,none
Hydrogen peroxide-inducible genes activator => OxyR,- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
"Transcriptional regulator, LacI/PurR family",none, , ,RNA processing and modification,RNA Metabolism
Na+/H+ antiporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"RND efflux system, inner membrane transporter",none, , ,Membrane Transport - no subcategory,Membrane Transport
"RND efflux system, membrane fusion protein",- none -, , ,none,none
"Putative two-component system sensor protein, no kinase domain",Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein,- none -, , ,none,none
Thioredoxin,- none -, , ,none,none
Uncharacterized integral membrane protein SSO0015,- none -, , ,none,none
Putative oxidoreductase,- none -, , ,none,none
Ferrichrome-iron receptor,- none -, , ,none,none
"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9), FadA2",Biotin biosynthesis; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation, , ,Biotin; Branched-chain amino acids; Fatty acids,"Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments; Fatty Acids, Lipids, and Isoprenoids"
FMN-dependent NADH-azoreductase (EC 1.7.1.6),- none -, , ,none,none
"Transcriptional regulator, HxlR family",none, , ,RNA processing and modification,RNA Metabolism
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),<br>Metallocarboxypeptidases (EC 3.4.17.-); <br>Murein Hydrolases; CBSS-84588.1.peg.1247; Protein degradation, , ,Cell Wall and Capsule - no subcategory; Protein degradation,Cell Wall and Capsule; Protein Metabolism
"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",Copper Transport System; <br>Copper homeostasis, , ,Cation transporters; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
"CzcABC family efflux RND transporter, membrane fusion protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"CzcABC family efflux RND transporter, transmembrane protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
corresponds to STY3948 from Accession AL513382: Salmonella typhi CT18,- none -, , ,none,none
Putative chemotaxis protein-glutamate methylesterase (EC 3.1.1.61),- none -, , ,none,none
"MCP methyltransferase, CheR-type",- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Two-component system sensor histidine kinase/response regulator hybrid,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
Asl0795 protein,- none -, , ,none,none
Two-component response regulator CheY subfamily,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
General stress protein,- none -, , ,none,none
Endo/excinuclease amino terminal domain protein,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
FIG003003: hypothetical protein,- none -, , ,none,none
Endonuclease,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
Stress response diiron-containing protein YciF,- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
"Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)","DNA topoisomerases, Type I, ATP-independent", , ,DNA replication,DNA Metabolism
Cinnamyl alcohol dehydrogenase/reductase (EC 1.1.1.195) @ Alcohol dehydrogenase (EC 1.1.1.1),5-FCL-like protein; <br>Butanol Biosynthesis, , ,Fermentation; Folate and pterines,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Chromate transport protein ChrA,Resistance to chromium compounds; none, , ,Membrane Transport - no subcategory; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
Thiol:disulfide interchange protein,- none -, , ,none,none
"Transcriptional regulator, ArsR family",none, , ,RNA processing and modification,RNA Metabolism
FMN oxidoreductase,- none -, , ,none,none
Acyltransferase,- none -, , ,none,none
All7165 protein,- none -, , ,none,none
beta-glucosidase (EC 3.2.1.21),- none -, , ,none,none
Regulatory protein SusR,- none -, , ,none,none
Acyl-CoA dehydrogenase,- none -, , ,none,none
Uncharacterized inner membrane protein RarD,- none -, , ,none,none
"DNA-binding transcriptional regulator, MocR family / aminotransferase domain",none, , ,RNA processing and modification,RNA Metabolism
probable membrane protein STY1534,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Membrane protein,- none -, , ,none,none
Membrane protein,- none -, , ,none,none
McbG-like protein,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
GMP reductase (EC 1.7.1.7),Purine conversions, , ,Purines,Nucleosides and Nucleotides
TRNA (Ms[2]io[6]A) -hydroxylase (EC 1.-.-.-),- none -, , ,none,none
Serine hydroxymethyltransferase (EC 2.1.2.1),5-FCL-like protein; <br>Glycine Biosynthesis; <br>Glycine and Serine Utilization; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine; Folate and pterines","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Fumarylacetoacetase (EC 3.7.1.2),Homogentisate pathway of aromatic compound degradation; <br>Salicylate and gentisate catabolism, , ,Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
Agmatine deiminase (EC 3.5.3.12),- none -, , ,none,none
Alkaline phosphatase (EC 3.1.3.1),Phosphate metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines; Phosphorus Metabolism - no subcategory,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Phosphorus Metabolism"
Outer membrane porin F precursor,- none -, , ,none,none
N-carbamoylputrescine amidase (EC 3.5.1.53) @ Aliphatic amidase AmiE (EC 3.5.1.4),- none -, , ,none,none
Chaperone protein ClpB (ATP-dependent unfoldase),- none -, , ,none,none
General stress protein,- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
Argininosuccinate lyase (EC 4.3.2.1),- none -, , ,none,none
N-succinyl-L-citrulline deacetylase,- none -, , ,none,none
N-succinylglutamate kinase,- none -, , ,none,none
N-succinylornithine carbamoyltransferase (EC 2.1.3.11),- none -, , ,none,none
Glutamate 5-kinase (EC 2.7.2.11),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
Gamma-glutamyl phosphate reductase (EC 1.2.1.41),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
N-succinylornithine aminotransferase,- none -, , ,none,none
N-succinyl-gamma-glutamyl-phosphate reductase,- none -, , ,none,none
Argininosuccinate synthase (EC 6.3.4.5),- none -, , ,none,none
N-succinyl-L-citrulline:glutamate succinyltransferase,- none -, , ,none,none
Peptidase,Protein degradation, , ,Protein degradation,Protein Metabolism
LacX protein,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
tmRNA-binding protein SmpB,Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"Fic domain protein, MA2133 type",- none -, , ,none,none
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),Lanthionine Synthetases; <br>Protein-L-isoaspartate O-methyltransferase; <br>Ton and Tol transport systems, , ,Membrane Transport - no subcategory; Protein processing and modification; Secondary Metabolism - no subcategory,Membrane Transport; Protein Metabolism; Secondary Metabolism
"Oxidoreductase, Gfo/Idh/MocA family",- none -, , ,none,none
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157),Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis, , ,Fermentation,Carbohydrates
Pyridoxal phosphate-containing protein YggS,- none -, , ,none,none
Hypothetical protein Fjoh_3451,- none -, , ,none,none
"Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family",Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
tRNA dimethylallyltransferase (EC 2.5.1.75),tRNA processing, , ,RNA processing and modification,RNA Metabolism
Acyl-acyl carrier protein thioesterase (EC 3.1.2.14),- none -, , ,none,none
Peptide chain release factor homolog,Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"RNA-2&#39;,3&#39;-PO4:RNA-5&#39;-OH ligase",RNA 3&#39;-terminal phosphate cyclase, , ,none,none
"Two-component transcriptional response regulator, OmpR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Dephospho-CoA kinase (EC 2.7.1.24),Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Glycosyltransferase,- none -, , ,none,none
"Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan",- none -, , ,none,none
DNA repair protein RecN,"DNA repair, bacterial; none", , ,DNA repair,DNA Metabolism
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),CBSS-176299.4.peg.1292; <br>RNA polymerase bacterial, , ,Transcription,RNA Metabolism
Outer membrane assembly lipoprotein YfiO,- none -, , ,none,none
4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch", , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
5&#39;-nucleotidase (EC 3.1.3.5),Purine conversions; <br>pyrimidine conversions, , ,Purines; Pyrimidines,Nucleosides and Nucleotides
5&#39;-nucleotidase (EC 3.1.3.5),Purine conversions; <br>pyrimidine conversions, , ,Purines; Pyrimidines,Nucleosides and Nucleotides
DNA ligase (NAD(+)) (EC 6.5.1.2),- none -, , ,none,none
Outer membrane lipoprotein omp16 precursor,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Mucin-2 precursor (Intestinal mucin-2),- none -, , ,none,none
Oar protein,- none -, , ,none,none
LSU ribosomal protein L9p,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent",<br>Ribosome SSU bacterial; Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S6p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Two-component system response regulator protein,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Helicase PriA essential for oriC/DnaA-independent DNA replication,DNA helicase; none, , ,DNA Metabolism - no subcategory; DNA replication,DNA Metabolism
Subclass B1 beta-lactamase (EC 3.5.2.6),- none -, , ,none,none
"Inner membrane protein YihY, formerly thought to be RNase BN",LMPTP YfkJ cluster; <br>Riboflavin synthesis cluster, , ,none,none
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
DNA alkylation repair enzyme,none, , ,DNA repair,DNA Metabolism
Pirin,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
Adenosine deaminase (EC 3.5.4.4),Purine conversions, , ,Purines,Nucleosides and Nucleotides
Uncharacterized protein YczJ,- none -, , ,none,none
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177),Pseudouridinylation; RNA methylation, , ,RNA processing and modification,RNA Metabolism
Dihydropteroate synthase (EC 2.5.1.15),Folate Biosynthesis; <br>Folate biosynthesis cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Uncharacterized protein BT_3928,- none -, , ,none,none
"ABC-type branched-chain amino acid transport systems, periplasmic component",none, , ,ABC-transporters,Membrane Transport
Thioredoxin family protein,- none -, , ,none,none
Triosephosphate isomerase (EC 5.3.1.1),Glycolysis and Gluconeogenesis, , ,Central carbohydrate metabolism,Carbohydrates
Ribosomal protein L11 methyltransferase,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
ClpS-like protein Fjoh_3508,- none -, , ,none,none
Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase),- none -, , ,none,none
N-acetyltransferase,- none -, , ,none,none
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),- none -, , ,none,none
putative outermembrane protein,- none -, , ,none,none
Uncharacterized protein YiiX,- none -, , ,none,none
Aminopeptidase CC_2544,Aminopeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
"Arabinan endo-1,5-alpha-L-arabinosidase A",- none -, , ,none,none
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),Glycerol and Glycerol-3-phosphate Uptake and Utilization, , ,Sugar alcohols,Carbohydrates
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),Glycerol and Glycerol-3-phosphate Uptake and Utilization, , ,Sugar alcohols,Carbohydrates
beta-glucosidase (EC 3.2.1.21),- none -, , ,none,none
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Acetate kinase (EC 2.7.2.1),"Fermentations: Lactate; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism; Fermentation,Carbohydrates
BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8),"Fermentations: Lactate; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism; Fermentation,Carbohydrates
Magnesium and cobalt transport protein CorA,Magnesium transport; none, , ,Cation transporters; Membrane Transport - no subcategory,Membrane Transport
Chaperone protein DnaK,Protein chaperones, , ,Protein folding,Protein Metabolism
Na+/H+ antiporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein,- none -, , ,none,none
PhnB protein,- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
"Hydrolase, alpha/beta fold family",- none -, , ,none,none
Phage protein p78,- none -, , ,none,none
Cytochrome c551/c552,Cytochrome; Soluble cytochromes and functionally related electron carriers, , ,Respiration - no subcategory,Respiration
"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)",CBSS-316273.3.peg.227, , ,none,none
Putative molybdenum transport ATP-binding protein modF,none, , ,Membrane Transport - no subcategory,Membrane Transport
LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
D-alanine--D-alanine ligase (EC 6.3.2.4),- none -, , ,none,none
Putative inner membrane protein,- none -, , ,none,none
Phosphopantetheine adenylyltransferase (EC 2.7.7.3),CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Protein PhnA,- none -, , ,none,none
ATP-dependent RNA helicase BT1154,RNA helicase, , ,RNA Metabolism - no subcategory,RNA Metabolism
Gll2474 protein,- none -, , ,none,none
NUDIX hydrolase-like protein CHU_2668,- none -, , ,none,none
Orotate phosphoribosyltransferase (EC 2.4.2.10),- none -, , ,none,none
Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15),- none -, , ,none,none
Ribosomal silencing factor RsfA,- none -, , ,none,none
"Cell division-associated, ATP-dependent zinc metalloprotease FtsH",Protein degradation, , ,Protein degradation,Protein Metabolism
Phosphatidate cytidylyltransferase (EC 2.7.7.41),- none -, , ,none,none
Phosphatidylserine decarboxylase (EC 4.1.1.65),- none -, , ,none,none
Superoxide dismutase [Mn] (EC 1.15.1.1),Oxidative stress, , ,Oxidative stress,Stress Response
Glycosylase BF2339,- none -, , ,none,none
Lipopolysaccharide export system protein LptA,Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
Acetylornithine aminotransferase (EC 2.6.1.11) (ACOAT),- none -, , ,none,none
TPR domain protein,- none -, , ,none,none
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Osmotically inducible protein,- none -, , ,none,none
TPR-repeat-containing protein,- none -, , ,none,none
DNA gyrase subunit A (EC 5.99.1.3),"DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones", , ,DNA replication; Resistance to antibiotics and toxic compounds,"DNA Metabolism; Virulence, Disease and Defense"
"ATP-dependent Clp protease, ATP-binding subunit ClpC","Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
hypothetical protein sometimes fused to ribosomal protein S6 glutaminyl transferase / Ribosomal protein S6--L-glutamate ligase,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
putative membrane protein,- none -, , ,none,none
Probable low-affinity inorganic phosphate transporter,Phosphate metabolism; none, , ,Membrane Transport - no subcategory; Phosphorus Metabolism - no subcategory,Membrane Transport; Phosphorus Metabolism
Phosphate transport regulator (distant homolog of PhoU),Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
Histidine ammonia-lyase (EC 4.3.1.3),Histidine Degradation, , ,Histidine Metabolism,Amino Acids and Derivatives
Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Homoserine kinase (EC 2.7.1.39),CBSS-269482.1.peg.1294; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Threonine synthase (EC 4.2.3.1),Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
Conserved protein,- none -, , ,none,none
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136),- none -, , ,none,none
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),Glycine and Serine Utilization; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Probable periplasmic tail-specific proteinase,- none -, , ,none,none
Probable transcriptional regulatory protein YebC,none, , ,RNA processing and modification,RNA Metabolism
Outer membrane autotransporter barrel,none, , ,Membrane Transport - no subcategory,Membrane Transport
Outer membrane autotransporter barrel,none, , ,Membrane Transport - no subcategory,Membrane Transport
Cystathionine beta-synthase (EC 4.2.1.22),Cysteine Biosynthesis; <br>Glycine and Serine Utilization; <br>Methionine Biosynthesis; <br>Methionine Degradation, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Protease II (EC 3.4.21.83),Protein degradation, , ,Protein degradation,Protein Metabolism
Nucleoid-associated protein YaaK,- none -, , ,none,none
L-allo-threonine aldolase (EC 2.1.2.1),Threonine degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Peptide chain release factor 2,Programmed frameshift; <br>Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),- none -, , ,none,none
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4),Leucine Degradation and HMG-CoA Metabolism, , ,Branched-chain amino acids,Amino Acids and Derivatives
"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)",Heme and Siroheme Biosynthesis, , ,Tetrapyrroles,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Heavy-metal-associated domain (N-terminus) and membrane-bounded cytochrome biogenesis cycZ-like domain, possible membrane copper tolerance protein",Cytochrome, , ,Respiration - no subcategory,Respiration
cytochrome cbb3 oxidase maturation protein CcoH,Cytochrome, , ,Respiration - no subcategory,Respiration
"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation",Biogenesis of cbb3-type cytochrome c oxidases, , ,Respiration - no subcategory,Respiration
Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Cytochrome c oxidase (cbb3-type) subunit CcoQ (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
