Function,Subsystem,NCBI GI,locus,System,Category
Biotin synthase (EC 2.8.1.6),Biotin biosynthesis; <br>Biotin biosynthesis Experimental, , ,Biotin,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),"Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>riboflavin to FAD; <br>riboflavin to FAD", , ,"Riboflavin, FMN, FAD","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Peptidyl-tRNA hydrolase (EC 3.1.1.29),Sporulation-associated proteins with broader functions; <br>Translation termination factors bacterial, , ,Dormancy and Sporulation - no subcategory; Protein biosynthesis,Dormancy and Sporulation; Protein Metabolism
LSU ribosomal protein L25p,Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),De Novo Purine Biosynthesis; <br>Pentose phosphate pathway, , ,Central carbohydrate metabolism; Purines,Carbohydrates; Nucleosides and Nucleotides
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Aldose 1-epimerase (EC 5.1.3.3),Lactose and Galactose Uptake and Utilization, , ,Di- and oligosaccharides,Carbohydrates
Galactokinase (EC 2.7.1.6),Lactose and Galactose Uptake and Utilization, , ,Di- and oligosaccharides,Carbohydrates
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10),Lactose and Galactose Uptake and Utilization, , ,Di- and oligosaccharides,Carbohydrates
UDP-glucose 4-epimerase (EC 5.1.3.2),Lactose and Galactose Uptake and Utilization; <br>Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides; Di- and oligosaccharides,Carbohydrates; Cell Wall and Capsule
Predicted sodium-dependent galactose transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Error-prone repair protein UmuD,- none -, , ,none,none
"Error-prone, lesion bypass DNA polymerase V (UmuC)",DNA polymerase, , ,DNA replication,DNA Metabolism
Alpha-glucosidase (EC 3.2.1.20),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Thermostable beta-glucosidase B (EC 3.2.1.21) (Gentiobiase) (Cellobiase) (Beta-D-glucoside glucohydrolase),- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Oxidoreductase,- none -, , ,none,none
2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,- none -, , ,none,none
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
Cold shock protein of CSP family,Phage shock, , ,Cold shock; Stress Response - no subcategory,Stress Response
Aspartyl-tRNA synthetase (EC 6.1.1.12),"tRNA aminoacylation, Asp and Asn", , ,Protein biosynthesis,Protein Metabolism
putative iron-regulated membrane protein,- none -, , ,none,none
Ferrichrome-iron receptor,- none -, , ,none,none
Acriflavin resistance protein,Multidrug Resistance Efflux Pumps; none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
"RND efflux system, membrane fusion protein",- none -, , ,none,none
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
YceI like family protein,- none -, , ,none,none
Geranylgeranyl diphosphate synthase (EC 2.5.1.29),Isoprenoinds for Quinones, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),Dehydrogenase complexes, , ,Central carbohydrate metabolism,Carbohydrates
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),Dehydrogenase complexes, , ,Central carbohydrate metabolism,Carbohydrates
Cytochrome c551/c552,Cytochrome; Soluble cytochromes and functionally related electron carriers, , ,Respiration - no subcategory,Respiration
Uncharacterized metal-dependent hydrolase YcfH,- none -, , ,none,none
"L-asparaginase I, cytoplasmic (EC 3.5.1.1)","Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
Transposase,Transposase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
Tetracycline resistance element mobilization regulatory protein rteC,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
rhamnogalacturonan acetylesterase,- none -, , ,none,none
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
xylanase,- none -, , ,none,none
Putative large secreted protein SCO0341,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
Rhamnogalacturonan endolyase (EC 4.2.2.23),- none -, , ,none,none
Putative large secreted protein SCO0341,- none -, , ,none,none
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)",- none -, , ,none,none
Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
rhamnogalacturonan acetylesterase,- none -, , ,none,none
Possible acyl protein synthase/acyl-CoA reductase-like protein,- none -, , ,none,none
TonB-dependent receptor Fjoh_0545,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"Two-component transcriptional response regulator Fjoh_0544, OmpR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Membrane anchored sensor signal transduction histidine kinase Fjoh_0543,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Phosphate transport system regulatory protein PhoU,Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
"internalin, putative",Listeria surface proteins: Internalin-like proteins, , ,Invasion and intracellular resistance,"Virulence, Disease and Defense"
Outer membrane lipoprotein omp16 precursor,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),- none -, , ,none,none
Aspartokinase (EC 2.7.2.4),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",- none -, , ,none,none
dCMP deaminase (EC 3.5.4.12),- none -, , ,none,none
Carboxy-terminal processing protease,Protein degradation, , ,Protein degradation,Protein Metabolism
Putative periplasmic protein-TrxB,- none -, , ,none,none
FIG00654303: hypothetical protein,- none -, , ,none,none
"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)",Ribonucleotide reduction, , ,Nucleosides and Nucleotides - no subcategory,Nucleosides and Nucleotides
"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",Ribonucleotide reduction, , ,Nucleosides and Nucleotides - no subcategory,Nucleosides and Nucleotides
"Transcriptional regulator, AsnC family",none, , ,RNA processing and modification,RNA Metabolism
Endonuclease,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"dNTP triphosphohydrolase, broad substrate specificity, subgroup 3",Purine conversions; <br>dNTP triphosphohydrolase protein family, , ,Nucleosides and Nucleotides - no subcategory; Purines,Nucleosides and Nucleotides
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),Isoprenoid Biosynthesis; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory; Isoprenoids; Pyridoxine","Cofactors, Vitamins, Prosthetic Groups, Pigments; Fatty Acids, Lipids, and Isoprenoids"
tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Protein AraJ precursor,L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
Ribonuclease G,Nuclease, , ,RNA processing and modification,RNA Metabolism
Integration host factor alpha/beta,"DNA structural proteins, bacterial", , ,DNA Metabolism - no subcategory,DNA Metabolism
A/G-specific adenine glycosylase (EC 3.2.2.-),"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
Single-stranded DNA-binding protein,"DNA repair, bacterial; <br>DNA repair, bacterial RecFOR pathway", , ,DNA repair,DNA Metabolism
Hemolysins and related proteins containing CBS domains,- none -, , ,none,none
GldD,- none -, , ,none,none
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
FIG015287: Zinc protease,Protein degradation, , ,Protein degradation,Protein Metabolism
"FIG015547: peptidase, M16 family",Protein degradation, , ,Protein degradation,Protein Metabolism
LSU ribosomal protein L21p,<br>Ribosome LSU bacterial; CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L27p,<br>Ribosome LSU bacterial; CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
small multidrug resistance family (SMR) protein,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Adenosylhomocysteinase (EC 3.3.1.1),Methionine Biosynthesis; <br>Methionine Degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Siderophore (Surfactin) biosynthesis regulatory protein,Siderophore, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Phosphoglycerol geranylgeranyltransferase (EC 2.5.1.41),- none -, , ,none,none
"Ribosyl nicotinamide transporter, PnuC-like",NAD and NADP cofactor biosynthesis global; none, , ,Membrane Transport - no subcategory; NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Membrane Transport"
Ribosylnicotinamide kinase (EC 2.7.1.22) homolog / Unknown conserved in Flavobacteria,- none -, , ,none,none
Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29),- none -, , ,none,none
Thiamin-regulated outer membrane receptor Omr1,Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Transcription elongation factor GreA,Transcription factors bacterial, , ,Transcription,RNA Metabolism
HIT family protein,- none -, , ,none,none
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6),Protein degradation, , ,Protein degradation,Protein Metabolism
Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73),- none -, , ,none,none
2-iminoacetate synthase (ThiH) (EC 4.1.99.19),- none -, , ,none,none
Thiazole synthase (EC 2.8.1.10),- none -, , ,none,none
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),5-FCL-like protein; <br>Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory; Folate and pterines","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),- none -, , ,none,none
Thiazole tautomerase TenI (EC 5.3.99.10),- none -, , ,none,none
Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17),- none -, , ,none,none
Sulfur carrier protein ThiS,Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
DNA-3-methyladenine glycosylase (EC 3.2.2.20),- none -, , ,none,none
Putative preQ0 transporter YhhQ,none, , ,Membrane Transport - no subcategory,Membrane Transport
Translation elongation factor Ts,CBSS-312309.3.peg.1965; <br>Ribosome recycling related cluster; <br>Translation elongation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S2p (SAe),<br>Ribosome SSU bacterial; <br>Ribosome recycling related cluster; CBSS-312309.3.peg.1965; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S9p (S16e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L13p (L13Ae),Ribosome LSU bacterial; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"Transcriptional regulator, LacI/PurR family",none, , ,RNA processing and modification,RNA Metabolism
DNA polymerase I (EC 2.7.7.7),DNA polymerase, , ,DNA replication,DNA Metabolism
Putative phosphoesterase,- none -, , ,none,none
Redox-inactive protein similar to thioredoxin,- none -, , ,none,none
Polysaccharide deacetylase,- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
Chromate transport protein ChrA,Resistance to chromium compounds; none, , ,Membrane Transport - no subcategory; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Acyl-CoA dehydrogenase,- none -, , ,none,none
Universal stress protein Coch_1269,- none -, , ,none,none
Bacterial ribosome SSU maturation protein RimP,- none -, , ,none,none
Transcription termination protein NusA,NusA-TFII Cluster; <br>Transcription factors bacterial, , ,Transcription,RNA Metabolism
Translation initiation factor 2,CBSS-138119.3.peg.2719; <br>NusA-TFII Cluster; <br>Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"Molybdopterin oxidoreductase subunit, predicted; chaperone protein HtpG",- none -, , ,none,none
"Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)",- none -, , ,none,none
Molybdopterin oxidoreductase,- none -, , ,none,none
"ABC-type Fe3+ transport system protein; Molybdenum transport protein, putative",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Putative uncharacterized protein TTHA1760,- none -, , ,none,none
Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
Epoxyqueuosine reductase (EC 1.17.99.6) QueG,- none -, , ,none,none
CBS domain protein,- none -, , ,none,none
Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
Glycine cleavage system H protein,Glycine and Serine Utilization; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Deoxyribose-phosphate aldolase (EC 4.1.2.4),Deoxyribose and Deoxynucleoside Catabolism, , ,Monosaccharides,Carbohydrates
Aerobactin siderophore receptor IutA,<br>Ton and Tol transport systems; Siderophore; Siderophore Aerobactin, , ,Membrane Transport - no subcategory; Siderophores,Iron acquisition and metabolism; Membrane Transport
putative iron-regulated membrane protein,- none -, , ,none,none
"Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB",- none -, , ,none,none
Alternative cytochrome c oxidase polypeptide CoxO (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Alternative cytochrome c oxidase polypeptide CoxP (EC 1.9.3.1),Cytochrome, , ,Respiration - no subcategory,Respiration
Putative subunit of Alternative cytochrome c oxidase,Cytochrome, , ,Respiration - no subcategory,Respiration
"Hypothetical protein associated with DUF420, no CDD domain",- none -, , ,none,none
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center",Cytochrome, , ,Respiration - no subcategory,Respiration
"Terminal oxidase biogenesis protein CtaM, putative heme A, heme O chaperone",- none -, , ,none,none
Hypothetical protein DUF334,- none -, , ,none,none
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, RND-adapter-like protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,- none -, , ,none,none
NifU domain protein,- none -, , ,none,none
"Carbonic anhydrase, gamma class (EC 4.2.1.1)",- none -, , ,none,none
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
"Putative two-component system sensor protein, no kinase domain",Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Putative outer membrane protein,- none -, , ,none,none
Glutamate racemase (EC 5.1.1.3),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
Outer membrane protein H precursor,Periplasmic Stress Response, , ,Periplasmic Stress,Stress Response
Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor,Periplasmic Stress Response, , ,Periplasmic Stress,Stress Response
Outer membrane protein assembly factor YaeT,- none -, , ,none,none
Undecaprenyl diphosphate synthase (EC 2.5.1.31),CBSS-83331.1.peg.3039; <br>Isoprenoid Biosynthesis; <br>Isoprenoinds for Quinones, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
