Function,Subsystem,NCBI GI,locus,System,Category
Cell division protein FtsZ,Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
Cell division protein FtsA,Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
Cell division protein FtsQ,Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8),- none -, , ,none,none
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),- none -, , ,none,none
Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129),- none -, , ,none,none
UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9),- none -, , ,none,none
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13),- none -, , ,none,none
"UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)",- none -, , ,none,none
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),CBSS-83331.1.peg.3039; Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
Cell division protein FtsL,Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Transcriptional regulator MraZ,none, , ,RNA processing and modification,RNA Metabolism
"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)",- none -, , ,none,none
GTP-binding protein EngB,- none -, , ,none,none
GldC,- none -, , ,none,none
GldB,- none -, , ,none,none
NAD synthetase (EC 6.3.1.5),NAD and NADP cofactor biosynthesis global, , ,NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Regulatory protein, LuxR:Response regulator receiver",Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
DNA primase DnaG,- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Hexaprenyl diphosphate synthase (farnesyl-diphosphate specific) (EC 2.5.1.83),Isoprenoinds for Quinones, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192),RNA methylation, , ,RNA processing and modification,RNA Metabolism
O-methyltransferase,- none -, , ,none,none
"putative membrane-associated phospholipid phosphatase, PAP2 superfamily",- none -, , ,none,none
Twin-arginine translocation protein TatA,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),Dipeptidases (EC 3.4.13.-); Protein degradation, , ,Protein degradation,Protein Metabolism
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)",- none -, , ,none,none
Methionine aminopeptidase (EC 3.4.11.18),<br>Translation termination factors bacterial; Aminopeptidases; CBSS-312309.3.peg.1965; Protein degradation, , ,Protein biosynthesis; Protein degradation,Protein Metabolism
Glycosyltransferase,- none -, , ,none,none
ApaG protein,- none -, , ,none,none
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88),"Arginine and Ornithine Degradation; <br>Proline, 4-hydroxyproline uptake and utilization", , ,"Arginine; Proline and 4-hydroxyproline; urea cycle, polyamines",Amino Acids and Derivatives
16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Linoleoyl-CoA desaturase (EC 1.14.19.3),- none -, , ,none,none
Aspartate aminotransferase (EC 2.6.1.1),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Glutamine, glutamate, aspartate, asparagine; Lysine, threonine, methionine, and cysteine; ammonia assimilation",Amino Acids and Derivatives
Na+/H+ antiporter NhaA type,"NhaA, NhaD and Sodium-dependent phosphate transporters; none", , ,Uni- Sym- and Antiporters,Membrane Transport
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
putative racemase,- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Putative anti-sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
Pirin,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
YceI like family protein,- none -, , ,none,none
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Gll2767 protein,- none -, , ,none,none
Pleiotropic regulatory protein,- none -, , ,none,none
3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13),- none -, , ,none,none
DNA mismatch repair protein MutS,"DNA repair, bacterial MutL-MutS system; <br>DNA repair system including RecA, MutS and a hypothetical protein", , ,DNA repair,DNA Metabolism
tRNA/rRNA methyltransferase,RNA methylation, , ,RNA processing and modification,RNA Metabolism
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) / Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113),Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Purine conversions; <br>Purine conversions, , ,Folate and pterines; Purines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Nucleosides and Nucleotides"
Signal peptide peptidase SppA (protease 4),Protein degradation, , ,Protein degradation,Protein Metabolism
Outer membrane assembly protein,- none -, , ,none,none
putative membrane protein,- none -, , ,none,none
Helix-turn-helix motif,- none -, , ,none,none
putative auxin-regulated protein,- none -, , ,none,none
PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,- none -, , ,none,none
Phosphoserine phosphatase (EC 3.1.3.3),Glycine and Serine Utilization; <br>Serine Biosynthesis; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
ATP-dependent Clp protease ATP-binding subunit ClpX,"Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),Protein degradation, , ,Protein degradation,Protein Metabolism
Cell division trigger factor (EC 5.2.1.8),Cell division protein, , ,Cell Division and Cell Cycle - no subcategory,Cell Division and Cell Cycle
rhamnogalacturonan acetylesterase,- none -, , ,none,none
rhamnogalacturonan acetylesterase,- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
rhamnogalacturonan acetylesterase,- none -, , ,none,none
"Transcriptional regulator of rhamnose utilization, GntR family",none, , ,RNA processing and modification,RNA Metabolism
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
pectate lyase L precursor,- none -, , ,none,none
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Predicted alpha-L-rhamnosidase,- none -, , ,none,none
Oligogalacturonate lyase (EC 4.2.2.6),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,- none -, , ,none,none
putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"Saccharopine dehydrogenase [NADP, L-glutamate-forming] (EC 1.5.1.10)",- none -, , ,none,none
FIG00018398: hypothetical regulator,- none -, , ,none,none
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49),"Pyruvate metabolism I: anaplerotic reactions, PEP", , ,Central carbohydrate metabolism,Carbohydrates
Mobile element protein,- none -, , ,none,none
phytase,- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
FIG00052322: hypothetical protein,- none -, , ,none,none
Predicted sialic acid transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),ECSIG4-SIG7; <br>Pyridoxin (Vitamin B6) Biosynthesis, , ,Pyridoxine,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Alcohol dehydrogenase (EC 1.1.1.1),5-FCL-like protein; <br>Butanol Biosynthesis; <br>Fermentations: Mixed acid, , ,Fermentation; Folate and pterines,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Transcriptional regulator, LacI family",none, , ,RNA processing and modification,RNA Metabolism
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
N-formylkynurenine (Aryl-) formamidase (EC 3.5.1.9),- none -, , ,none,none
Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW,- none -, , ,none,none
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),Nuclease, , ,DNA Metabolism - no subcategory,DNA Metabolism
N-acetylglucosaminyltransferase (EC 2.4.1.-),- none -, , ,none,none
Thioredoxin,- none -, , ,none,none
DEDDh 3&#39;-5&#39; exonuclease domain / DNA polymerase III alpha subunit (EC 2.7.7.7),DNA polymerase; Nuclease, , ,DNA Metabolism - no subcategory; DNA replication; RNA processing and modification,DNA Metabolism; RNA Metabolism
OmpA/MotB domain protein,- none -, , ,none,none
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),Branched-Chain Amino Acid Biosynthesis; <br>Leucine Biosynthesis, , ,Branched-chain amino acids,Amino Acids and Derivatives
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),Branched-Chain Amino Acid Biosynthesis; <br>Leucine Biosynthesis, , ,Branched-chain amino acids,Amino Acids and Derivatives
(R)-citramalate synthase (EC 2.3.1.182),Branched-Chain Amino Acid Biosynthesis, , ,Branched-chain amino acids,Amino Acids and Derivatives
3-isopropylmalate dehydrogenase (EC 1.1.1.85),Branched-Chain Amino Acid Biosynthesis; <br>Leucine Biosynthesis, , ,Branched-chain amino acids,Amino Acids and Derivatives
"Ferric siderophore transport system, periplasmic binding protein TonB",<br>Ton and Tol transport systems; Hemin transport system; Siderophore; Ton and Tol transopt system, , ,Iron acquisition and metabolism - no subcategory; Membrane Transport - no subcategory,Iron acquisition and metabolism; Membrane Transport
RNA-binding region RNP-1,- none -, , ,none,none
SSU ribosomal protein S16p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
16S rRNA processing protein RimM,- none -, , ,none,none
tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223),RNA methylation, , ,RNA processing and modification,RNA Metabolism
"transporter, LysE family",none, , ,Membrane Transport - no subcategory,Membrane Transport
Glutaryl-CoA dehydrogenase (EC 1.3.8.6),- none -, , ,none,none
PROBABLE REMNANT OF A TRANSPOSASE GENE PROTEIN,Transposase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
"Ferredoxin, 2Fe-2S",Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>Soluble cytochromes and functionally related electron carriers, , ,"Alanine, serine, and glycine; Plant-Prokaryote DOE project; Respiration - no subcategory",Amino Acids and Derivatives; Miscellaneous; Respiration
NifU-like domain protein,- none -, , ,none,none
Septum site-determining protein MinD,Bacterial cell division cluster; <br>Septum site-determining cluster Min, , ,none,none
Methylated-DNA-[protein]-cysteine S-methyltransferase,- none -, , ,none,none
tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33),RNA methylation, , ,RNA processing and modification,RNA Metabolism
Ammonium transporter,Ammonia assimilation; none, , ,Membrane Transport - no subcategory; Nitrogen Metabolism - no subcategory,Membrane Transport; Nitrogen Metabolism
"ribosomal subunit interface protein, putative",- none -, , ,none,none
Prolyl endopeptidase (EC 3.4.21.26),Protein degradation; Serine endopeptidase (EC 3.4.21.-), , ,Protein degradation,Protein Metabolism
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Large-conductance mechanosensitive channel,Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1),Alanine biosynthesis; <br>Pyruvate Alanine Serine Interconversions, , ,"Alanine, serine, and glycine; Central carbohydrate metabolism",Amino Acids and Derivatives; Carbohydrates
Signal peptidase I (EC 3.4.21.89),<br>Signal peptidase; CBSS-176299.4.peg.1292; Protein degradation, , ,Protein degradation; Protein processing and modification,Protein Metabolism
Mannonate dehydratase (EC 4.2.1.8),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
D-mannonate oxidoreductase (EC 1.1.1.57),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
"Transcriptional regulator of fucose utilization, GntR family",none, , ,RNA processing and modification,RNA Metabolism
putative membrane protein,- none -, , ,none,none
"L-asparaginase I, cytoplasmic (EC 3.5.1.1)","Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
Uncharacterized metal-dependent hydrolase YcfH,- none -, , ,none,none
membrane associated lipoprotein precursor,- none -, , ,none,none
Cytochrome c551/c552,Cytochrome; Soluble cytochromes and functionally related electron carriers, , ,Respiration - no subcategory,Respiration
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),Dehydrogenase complexes, , ,Central carbohydrate metabolism,Carbohydrates
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),Dehydrogenase complexes, , ,Central carbohydrate metabolism,Carbohydrates
Geranylgeranyl diphosphate synthase (EC 2.5.1.29),Isoprenoinds for Quinones, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
YceI like family protein,- none -, , ,none,none
"Transcriptional regulator, AcrR family",none, , ,RNA processing and modification,RNA Metabolism
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
"RND efflux system, membrane fusion protein",- none -, , ,none,none
"RND efflux system, inner membrane transporter",none, , ,Membrane Transport - no subcategory,Membrane Transport
Ferrichrome-iron receptor,- none -, , ,none,none
putative iron-regulated membrane protein,- none -, , ,none,none
Aspartyl-tRNA synthetase (EC 6.1.1.12),"tRNA aminoacylation, Asp and Asn", , ,Protein biosynthesis,Protein Metabolism
Cold shock protein of CSP family,Phage shock, , ,Cold shock; Stress Response - no subcategory,Stress Response
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),NADH ubiquinone oxidoreductase; <br>Respiratory Complex I, , ,Electron donating reactions,Respiration
2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,- none -, , ,none,none
Oxidoreductase,- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
"Error-prone, lesion bypass DNA polymerase V (UmuC)",DNA polymerase, , ,DNA replication,DNA Metabolism
Error-prone repair protein UmuD,- none -, , ,none,none
Predicted sodium-dependent galactose transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
UDP-galactopyranose mutase (EC 5.4.99.9),- none -, , ,none,none
UDP-galactopyranose mutase (EC 5.4.99.9),- none -, , ,none,none
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
FIG015287: Zinc protease,Protein degradation, , ,Protein degradation,Protein Metabolism
"FIG015547: peptidase, M16 family",Protein degradation, , ,Protein degradation,Protein Metabolism
LSU ribosomal protein L21p,<br>Ribosome LSU bacterial; CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L27p,<br>Ribosome LSU bacterial; CBSS-176279.3.peg.868; Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Adenosylhomocysteinase (EC 3.3.1.1),Methionine Biosynthesis; <br>Methionine Degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Siderophore (Surfactin) biosynthesis regulatory protein,Siderophore, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Phosphoglycerol geranylgeranyltransferase (EC 2.5.1.41),- none -, , ,none,none
"Ribosyl nicotinamide transporter, PnuC-like",NAD and NADP cofactor biosynthesis global; none, , ,Membrane Transport - no subcategory; NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Membrane Transport"
Ribosylnicotinamide kinase (EC 2.7.1.22) homolog / Unknown conserved in Flavobacteria,- none -, , ,none,none
Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29),- none -, , ,none,none
