Function,Subsystem,NCBI GI,locus,System,Category
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241),- none -, , ,none,none
Rhomboid family protein,- none -, , ,none,none
Thiol:disulfide interchange protein,- none -, , ,none,none
MBL-fold metallo-hydrolase superfamily,- none -, , ,none,none
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
UPF0225 protein YchJ,Broadly distributed proteins not in subsystems, , ,Miscellaneous - no subcategory,Miscellaneous
"ABC transporter, permease protein (cluster 9, phospholipid)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, ATP-binding protein (cluster 9, phospholipid)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
VpsC protein,- none -, , ,none,none
"ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"ABC transporter, permease protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"putative membrane-associated phospholipid phosphatase, PAP2 superfamily",- none -, , ,none,none
ATP-dependent RNA helicase,RNA helicase, , ,RNA Metabolism - no subcategory,RNA Metabolism
"Excinuclease ABC, C subunit-like",Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)",<br>Type I Restriction-Modification; Restriction-Modification System; Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
Transposase,Transposase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
"Type I restriction-modification system, specificity subunit S",Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)",Restriction-Modification System; <br>Type I Restriction-Modification, , ,DNA Metabolism - no subcategory,DNA Metabolism
Putative oxidoreductase,- none -, , ,none,none
tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE,RNA methylation, , ,RNA processing and modification,RNA Metabolism
Universal stress protein,- none -, , ,none,none
DNA polymerase III beta subunit (EC 2.7.7.7),DNA polymerase; DNA replication cluster 1, , ,DNA replication,DNA Metabolism
Gliding motility-associated ABC transporter substrate-binding protein GldG,none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Gliding motility-associated ABC transporter permease protein GldF,none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
FIG00648915: hypothetical protein,- none -, , ,none,none
"Phosphate starvation-inducible protein PhoH, predicted ATPase",CBSS-56780.10.peg.1536; <br>CBSS-56780.10.peg.1536; <br>Glycyl-tRNA synthetase containing cluster; <br>Phosphate metabolism; <br>Phosphate metabolism, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
Cytoplasmic alpha-amylase (EC 3.2.1.1),- none -, , ,none,none
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),Terminal cytochrome d ubiquinol oxidases; <br>Terminal cytochrome oxidases, , ,Electron accepting reactions,Respiration
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),De Novo Purine Biosynthesis, , ,Purines,Nucleosides and Nucleotides
Endoglucanase,- none -, , ,none,none
Putative hydrolase,- none -, , ,none,none
Zn-dependent protease with chaperone function PA4632,Protein degradation, , ,Protein degradation,Protein Metabolism
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
ATP-dependent protease La (EC 3.4.21.53) Type I,"Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
RidA/YER057c/UK114 superfamily protein,- none -, , ,none,none
LPS-assembly protein LptD @ Organic solvent tolerance protein precursor,ECSIG4-SIG7; Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids, , ,Cell Wall and Capsule - no subcategory,Cell Wall and Capsule
"ABC transporter, substrate-binding protein (cluster 9, phospholipid)",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Iron-sulphur-binding reductase,- none -, , ,none,none
Iron-sulphur-binding reductase,- none -, , ,none,none
beta-glycosyl hydrolase / Uncharacterized esterase,- none -, , ,none,none
DUF1801 domain-containing protein,- none -, , ,none,none
UDP-N-acetylglucosamine:L-malate glycosyltransferase,- none -, , ,none,none
Chorismate synthase (EC 4.2.3.5),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Uncharacterized protein YuxK,- none -, , ,none,none
Recombination inhibitory protein MutS2,"DNA repair, bacterial MutL-MutS system", , ,DNA repair,DNA Metabolism
"Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)",- none -, , ,none,none
ACR269Cp,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
Prolyl endopeptidase,Protein degradation, , ,Protein degradation,Protein Metabolism
Acid-resistant locus arl7 (Fragment),none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Purine nucleoside phosphorylase (EC 2.4.2.1),Adenosyl nucleosidases; <br>Deoxyribose and Deoxynucleoside Catabolism; <br>Purine conversions; <br>pyrimidine conversions, , ,Monosaccharides; Nucleosides and Nucleotides - no subcategory; Purines; Pyrimidines,Carbohydrates; Nucleosides and Nucleotides
Translation initiation factor SUI1-related protein,Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",none, , ,Uni- Sym- and Antiporters,Membrane Transport
Oxidoreductase,- none -, , ,none,none
"TTP-dependent protein, related to E1 component of pyruvate/2-oxoglutarate/acetoin dehydrogenase",- none -, , ,none,none
Two-component system response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4); FUPA30 P-type ATPase",Copper Transport System; <br>Copper homeostasis, , ,Cation transporters; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
Ribosome-associated inhibitor A,- none -, , ,none,none
OsmC/Ohr family protein,- none -, , ,none,none
Homoserine kinase (EC 2.7.1.39),CBSS-269482.1.peg.1294; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
hydrolase-related protein,- none -, , ,none,none
"Transcriptional regulator, YafY family",none, , ,RNA processing and modification,RNA Metabolism
"COG4339 metal-dependent phosphohydrolase, HD superfamily",- none -, , ,none,none
COG2827: putative endonuclease containing a URI domain,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
"RNA-2&#39;,3&#39;-PO4:RNA-5&#39;-OH ligase",RNA 3&#39;-terminal phosphate cyclase, , ,none,none
Putative stomatin/prohibitin-family membrane protease subunit PA4582,Protein degradation, , ,Protein degradation,Protein Metabolism
Antifreeze protein,- none -, , ,none,none
histidine kinase response regulator hybrid protein,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Organic hydroperoxide resistance transcriptional regulator,none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Organic hydroperoxide resistance protein,CBSS-269482.1.peg.1294; <br>Oxidative stress, , ,Oxidative stress,Stress Response
Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34),- none -, , ,none,none
"Transcriptional regulator, HxlR family",none, , ,RNA processing and modification,RNA Metabolism
Glyoxalase family protein,- none -, , ,none,none
Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34),- none -, , ,none,none
Probable secreted protein,- none -, , ,none,none
Phenylalanine-4-hydroxylase (EC 1.14.16.1),Aromatic amino acid degradation; <br>Pterin carbinolamine dehydratase; <br>Pterin metabolism, , ,Aromatic amino acids and derivatives; Folate and pterines,"Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
DnaJ-class molecular chaperone CbpA,Protein chaperones, , ,Protein folding,Protein Metabolism
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Maleate cis-trans isomerase (EC 5.2.1.1),Salicylate and gentisate catabolism, , ,Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
Fumarylacetoacetate hydrolase family protein,Gentisate degradation; <br>Pterin carbinolamine dehydratase; <br>Salicylate and gentisate catabolism, , ,Folate and pterines; Metabolism of Aromatic Compounds - no subcategory; Metabolism of central aromatic intermediates,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Metabolism of Aromatic Compounds"
"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",Gentisate degradation; <br>Salicylate and gentisate catabolism, , ,Metabolism of Aromatic Compounds - no subcategory; Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
Nitrilase (EC 3.5.5.7),- none -, , ,none,none
Putative 4-hydroxybenzoyl CoA thioesterase,- none -, , ,none,none
Ferredoxin-dependent glutamate synthase (EC 1.4.7.1),"Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases,- none -, , ,none,none
Anthraniloyl-CoA monooxygenase (EC 1.14.13.40),- none -, , ,none,none
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),- none -, , ,none,none
FIG152265: Sodium:solute symporter associated protein,CBSS-211586.9.peg.2560; none, , ,Uni- Sym- and Antiporters,Membrane Transport
Acetate permease ActP (cation/acetate symporter),"CBSS-211586.9.peg.2560; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism,Carbohydrates
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Acetyl-CoA synthetase (EC 6.2.1.1),- none -, , ,none,none
Acetyl-CoA synthetase (EC 6.2.1.1),- none -, , ,none,none
FIG00694541: hypothetical protein,- none -, , ,none,none
FIG00694210: hypothetical protein,- none -, , ,none,none
NAD binding site,- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
Naringenin-chalcone synthase (EC 2.3.1.74),- none -, , ,none,none
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)",Fatty Acid Biosynthesis FASII; <br>Llipid A biosynthesis cluster, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Acyl carrier protein,Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
"Endo-1,4-beta-xylanase B precursor",- none -, , ,none,none
DNA polymerase III epsilon subunit (EC 2.7.7.7),<br>CBSS-342610.3.peg.1536; CBSS-228410.1.peg.134; DNA polymerase, , ,DNA replication,DNA Metabolism
Predicted signal-transduction protein containing cAMP-binding and CBS domains,CBSS-211586.9.peg.2560; <br>CBSS-342610.3.peg.1536, , ,none,none
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system histidine kinase BT1216,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"ABC-type antimicrobial peptide transport system, permease component BT1215",none, , ,ABC-transporters,Membrane Transport
"ABC-type antimicrobial peptide transport system, ATPase component",none, , ,ABC-transporters,Membrane Transport
"ABC export system, membrane fusion protein BT1213",- none -, , ,none,none
"Efflux transport system, outer membrane factor (OMF) lipoprotein",none, , ,Membrane Transport - no subcategory,Membrane Transport
Putative membrane transport protein,none, , ,Membrane Transport - no subcategory,Membrane Transport
Major porin and structural outer membrane porin OprF,- none -, , ,none,none
cytosolic long-chain acyl-CoA thioester hydrolase family protein,- none -, , ,none,none
Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),Histidine Biosynthesis; <br>Histidine Biosynthesis; <br>Riboflavin synthesis cluster, , ,Histidine Metabolism,Amino Acids and Derivatives
Imidazole glycerol phosphate synthase cyclase subunit,- none -, , ,none,none
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16),"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Histidine Biosynthesis", , ,Aromatic amino acids and derivatives; Histidine Metabolism,Amino Acids and Derivatives
Imidazole glycerol phosphate synthase amidotransferase subunit HisH,- none -, , ,none,none
Histidinol-phosphatase (EC 3.1.3.15) / Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19),Histidine Biosynthesis; <br>Histidine Biosynthesis, , ,Histidine Metabolism,Amino Acids and Derivatives
Histidinol-phosphate aminotransferase (EC 2.6.1.9),Histidine Biosynthesis, , ,Histidine Metabolism,Amino Acids and Derivatives
Histidinol dehydrogenase (EC 1.1.1.23),Histidine Biosynthesis, , ,Histidine Metabolism,Amino Acids and Derivatives
ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl,- none -, , ,none,none
Nodulin-related protein CC_0717,- none -, , ,none,none
"CzcABC family efflux RND transporter, membrane fusion protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"CzcABC family efflux RND transporter, transmembrane protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Phosphate regulon transcriptional regulatory protein PhoB (SphR),none, , ,Phosphorus Metabolism - no subcategory; RNA processing and modification,Phosphorus Metabolism; RNA Metabolism
Uncharacterized protein Runsl_0699,- none -, , ,none,none
Lipoprotein Runsl_0700,- none -, , ,none,none
FAD:protein FMN transferase (EC 2.7.1.180),- none -, , ,none,none
Thioredoxin Disulfide Isomerase,- none -, , ,none,none
Sulfatase family protein,- none -, , ,none,none
"Endoglucanase H precursor (EgH) (Endo-1,4-beta- glucanase H) (Cellulase H)",- none -, , ,none,none
"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG",- none -, , ,none,none
RNA polymerase sigma factor RpoE,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"lipoprotein, putative",- none -, , ,none,none
Cytochrome c peroxidase (EC 1.11.1.5),Cytochrome, , ,Respiration - no subcategory,Respiration
Probable cytochrome-c peroxidase,Cytochrome, , ,Respiration - no subcategory,Respiration
Phophatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68),- none -, , ,none,none
"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center",Cytochrome, , ,Respiration - no subcategory,Respiration
Cellulosomal protein,- none -, , ,none,none
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",- none -, , ,none,none
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),- none -, , ,none,none
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),- none -, , ,none,none
Translation elongation factor P,Modification of eukaryotic initiation factor 5A; <br>Translation elongation factors bacterial, , ,Protein biosynthesis; Protein processing and modification,Protein Metabolism
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),Llipid A biosynthesis cluster, , ,none,none
"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108) / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)",Fatty Acid Biosynthesis FASII; <br>Llipid A biosynthesis cluster, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),- none -, , ,none,none
"dNTP triphosphohydrolase, broad substrate specificity",- none -, , ,none,none
Response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,- none -, , ,none,none
Alanine dehydrogenase (EC 1.4.1.1),Pyruvate Alanine Serine Interconversions, , ,Central carbohydrate metabolism,Carbohydrates
Acetyl-CoA acetyltransferase (EC 2.3.1.9),Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Mevalonate Branch of Isoprenoid Biosynthesis; <br>Polyhydroxybutyrate metabolism, , ,"Fatty Acids, Lipids, and Isoprenoids - no subcategory; Fermentation; Isoprenoids","Carbohydrates; Fatty Acids, Lipids, and Isoprenoids"
Dipeptidyl peptidase VI,Protein degradation, , ,Protein degradation,Protein Metabolism
DNA gyrase subunit A (EC 5.99.1.3),"DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones", , ,DNA replication; Resistance to antibiotics and toxic compounds,"DNA Metabolism; Virulence, Disease and Defense"
"ATP-dependent Clp protease, ATP-binding subunit ClpC","Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
hypothetical protein sometimes fused to ribosomal protein S6 glutaminyl transferase / Ribosomal protein S6--L-glutamate ligase,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Protein of unknown function DUF1304,- none -, , ,none,none
Histidine ammonia-lyase (EC 4.3.1.3),Histidine Degradation, , ,Histidine Metabolism,Amino Acids and Derivatives
Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis; <br>Threonine and Homoserine Biosynthesis", , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Homoserine kinase (EC 2.7.1.39),CBSS-269482.1.peg.1294; <br>Methionine Biosynthesis; <br>Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Threonine synthase (EC 4.2.3.1),Threonine and Homoserine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),Glycine and Serine Utilization; <br>Glycine cleavage system, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Two-component response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Probable transcriptional regulatory protein YebC,none, , ,RNA processing and modification,RNA Metabolism
Protein secretion chaperonin CsaA,- none -, , ,none,none
Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein,- none -, , ,none,none
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
Methyltransferase type 12,- none -, , ,none,none
tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),RNA methylation, , ,RNA processing and modification,RNA Metabolism
LSU ribosomal protein L19p,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42),5-FCL-like protein, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Thiamin pyrophosphokinase (EC 2.7.6.2),Thiamin biosynthesis, , ,"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory","Cofactors, Vitamins, Prosthetic Groups, Pigments"
